mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000009,2022-04-28T05:05:52.000Z,0,0.1557,0.5868,9.9323,Infinity,Infinity,Infinity
,,290.625,0.2227,0.3209,0.1413,0.122,0.1757,0.0774
,,293.75,0.1533,0.3784,0.0719,0.0831,0.205,0.039
,,296.875,0.5485,0.2419,0.2251,0.2941,0.1297,0.1207
,,300,0.3521,0.1389,0.2395,0.1868,0.0737,0.1271
,,303.125,0.2922,0.2874,0.194,0.1534,0.1509,0.1019
,,306.25,0.2778,0.0335,0.2132,0.1444,0.0174,0.1108
,,309.375,0.3449,0.4407,NaN,0.1774,0.2267,NaN
,,312.5,0.9844,0.4024,NaN,0.5014,0.2049,NaN
,,315.625,0.6371,0.206,NaN,0.3213,0.1039,NaN
,,318.75,0.4575,0.2587,NaN,0.2284,0.1292,NaN
,,321.875,0.4551,0.2443,NaN,0.225,0.1208,NaN
,,325,0.2563,0.024,NaN,0.1255,0.0118,NaN
,,328.125,0.0599,0.1916,NaN,0.0291,0.0929,NaN
,,331.25,0.3569,0.0958,NaN,0.1715,0.046,NaN
,,334.375,0.0958,0.1988,NaN,0.0456,0.0946,NaN
,,337.5,0.1078,0.1509,NaN,0.0508,0.0712,NaN
,,340.625,0.3688,0.3617,NaN,0.1723,0.169,NaN
,,343.75,0.1437,0.2491,NaN,0.0665,0.1153,NaN
,,346.875,0.2036,0.0934,0.1557,0.0934,0.0429,0.0714
,,350,0.297,0.1868,0.1868,0.1351,0.0849,0.0849
,,353.125,0.2563,0.4096,0.3281,0.1155,0.1846,0.1479
,,356.25,0.3832,0.5389,0.4551,0.1712,0.2408,0.2033
,,359.375,0.3114,0.2395,0.4287,0.1379,0.1061,0.1899
,,362.5,0.115,0.1102,0.2826,0.0505,0.0484,0.1241
,,365.625,0.2203,0.3449,0.1964,0.0959,0.1501,0.0855
,,368.75,0.2922,0.1269,0.1437,0.1261,0.0548,0.062
,,371.875,0.0862,0.2395,0.1964,0.0369,0.1025,0.0841
,,375,0.1413,0.2203,0.1365,0.06,0.0935,0.0579
,,378.125,0.2443,0.1198,0.115,0.1028,0.0504,0.0484
,,381.25,0.2635,0.1557,0.1509,0.11,0.065,0.063
,,384.375,0.2371,0.3401,0.1174,0.0982,0.1408,0.0486
,,387.5,0.1365,0.1892,0.1413,0.0561,0.0777,0.058
,,390.625,0.0647,0.2371,0.1221,0.0264,0.0966,0.0497
,,393.75,0.103,0.2563,0.091,0.0416,0.1036,0.0368
,,396.875,0.2251,0.1174,0.091,0.0903,0.0471,0.0365
,,400,0.2802,0.3257,0.115,0.1115,0.1296,0.0458
,,403.125,0.273,0.6682,0.1317,0.1078,0.2638,0.052
,,406.25,0.6586,0.5341,0.2898,0.258,0.2092,0.1135
,,409.375,0.3904,0.3664,0.0886,0.1518,0.1424,0.0344
,,412.5,0.3233,0.1629,0.182,0.1247,0.0629,0.0702
,,415.625,0.0766,0.115,0.0072,0.0293,0.044,0.0028
,,418.75,0.1245,0.1437,0.1245,0.0473,0.0546,0.0473
,,421.875,0.3042,0.1892,0.1078,0.1148,0.0714,0.0407
,,425,0.0934,0.1317,0.0263,0.035,0.0493,0.0098
,,428.125,0.1102,0.1844,0.0263,0.041,0.0686,0.0098
,,431.25,0.3401,0.1437,0.1078,0.1255,0.053,0.0398
,,434.375,0.297,0.1078,0.079,0.1088,0.0395,0.0289
,,437.5,0.0886,0.1365,0.0742,0.0322,0.0497,0.027
,,440.625,0.2802,0.2395,0.103,0.1012,0.0865,0.0372
,,443.75,0.0431,0.3593,0.2467,0.0155,0.1289,0.0885
,,446.875,0.5006,0.0934,0.2299,0.1783,0.0333,0.0819
,,450,0.3401,0.0766,0.1413,0.1203,0.0271,0.05
,,453.125,0.2299,0.0862,0.0455,0.0807,0.0303,0.016
,,456.25,0.182,0.1054,0.1245,0.0635,0.0368,0.0434
,,459.375,0.1365,0.0575,0.0623,0.0473,0.0199,0.0216
,,462.5,0.273,0.1174,0.1341,0.0939,0.0404,0.0461
,,465.625,0.2371,0.0287,0.0263,0.081,0.0098,0.009
,,468.75,0.2659,0.1389,0.0359,0.0903,0.0472,0.0122
,,471.875,0.2156,0.1653,0.2156,0.0727,0.0558,0.0727
,,475,0.2563,NaN,0.2371,0.0859,NaN,0.0794
,,478.125,0.2108,NaN,0.0934,0.0702,NaN,0.0311
,,481.25,0.2946,NaN,0.1868,0.0974,NaN,0.0618
,,484.375,0.1245,NaN,0.091,0.0409,NaN,0.0299
,,487.5,0.1413,NaN,0.3138,0.0461,NaN,0.1024
,,490.625,0.2946,NaN,0.2922,0.0956,NaN,0.0948
,,493.75,0.3664,NaN,0.1221,0.1181,NaN,0.0394
,,496.875,0.0862,NaN,0.3042,0.0276,NaN,0.0974
,,500,0.273,NaN,0.2347,0.0869,NaN,0.0747
,,503.125,0.3449,NaN,0.1964,0.1091,NaN,0.0621
,,506.25,0.0958,NaN,0.1006,0.0301,NaN,0.0316
,,509.375,0.2084,NaN,0.1341,0.0651,NaN,0.0419
,,512.5,0.1533,0.3401,0.0623,0.0476,0.1056,0.0193
,,515.625,0.4479,0.3808,0.079,0.1383,0.1175,0.0244
,,518.75,0.2347,0.1533,0.1653,0.072,0.047,0.0507
,,521.875,0.5245,0.206,0.297,0.16,0.0628,0.0906
,,525,0.0982,0.115,0.0335,0.0298,0.0349,0.0102
,,528.125,0.2419,0.1533,0.079,0.0729,0.0462,0.0238
,,531.25,0.3736,0.1844,0.1102,0.1119,0.0552,0.033
,,534.375,0.3449,0.3377,0.2132,0.1027,0.1006,0.0635
,,537.5,0.6491,0.5652,0.3545,0.1922,0.1674,0.105
,,540.625,0.4383,0.3521,0.206,0.129,0.1037,0.0606
,,543.75,0.4024,0.091,0.1365,0.1178,0.0266,0.04
,,546.875,0.2491,0.2539,0.0671,0.0725,0.0739,0.0195
,,550,0.273,0.0623,0.0216,0.079,0.018,0.0063
,,553.125,0.1964,0.2515,0.0671,0.0565,0.0724,0.0193
,,556.25,0.17,0.1461,0.0479,0.0486,0.0418,0.0137
,,559.375,0.297,0.1796,0.115,0.0845,0.0511,0.0327
,,562.5,0.1126,0.2108,0.0479,0.0319,0.0596,0.0136
,,565.625,0.0886,0.0575,0.0479,0.0249,0.0162,0.0135
,,568.75,NaN,0.1126,0.0431,NaN,0.0315,0.0121
,,571.875,NaN,0.1102,0.0958,NaN,0.0307,0.0267
,,575,NaN,0.1102,0.0719,NaN,0.0305,0.0199
,,578.125,NaN,0.1748,0.17,NaN,0.0481,0.0468
,,581.25,NaN,0.1916,0.1772,NaN,0.0525,0.0485
,,584.375,NaN,0.1748,0.1341,NaN,0.0476,0.0365
,,587.5,NaN,0.182,0.2084,NaN,0.0493,0.0565
,,590.625,NaN,0.115,0.182,NaN,0.031,0.049
,,593.75,NaN,0.1102,0.1748,NaN,0.0295,0.0469
,,596.875,NaN,0.024,0.1198,NaN,0.0064,0.0319
,,600,NaN,0.1772,0.0192,NaN,0.047,0.0051
,,603.125,NaN,0.0982,0.1605,NaN,0.0259,0.0424
,,606.25,0.1748,0.1916,0.1078,0.0459,0.0503,0.0283
,,609.375,0.1293,0.091,0.1006,0.0338,0.0238,0.0263
,,612.5,0.115,0.0982,0.1126,0.0299,0.0255,0.0293
,,615.625,0.0599,0.0479,0.1198,0.0155,0.0124,0.031
,,618.75,0.1078,0.1054,0.0742,0.0277,0.0271,0.0191
,,621.875,0.091,0.1102,0.0719,0.0233,0.0282,0.0184
,,625,0.1629,0.1796,0.1964,0.0415,0.0457,0.05
,,628.125,0.2084,0.1772,0.2563,0.0528,0.0449,0.0649
,,631.25,0.3593,0.2443,0.1988,0.0906,0.0616,0.0501
,,634.375,0.182,0.3281,0.1988,0.0457,0.0823,0.0499
,,637.5,0.0671,0.0455,0.0216,0.0168,0.0114,0.0054
,,640.625,0.0431,0.1629,0.1006,0.0107,0.0405,0.025
,,643.75,0.0575,0.0695,0.0695,0.0142,0.0172,0.0172
,,646.875,0.0479,0.1174,0.1341,0.0118,0.0289,0.033
,,650,0.1198,0.182,0.0934,0.0293,0.0446,0.0229
,,653.125,0.1796,0.0335,0.1485,0.0438,0.0082,0.0362
,,656.25,0.0503,0.1221,0.1102,0.0122,0.0296,0.0267
,,659.375,0.2203,0.2347,0.1916,0.0532,0.0567,0.0462
,,662.5,0.091,0.1509,0.0575,0.0219,0.0363,0.0138
,,665.625,0.0527,0.1293,0.0766,0.0126,0.0309,0.0183
,,668.75,0.1389,0.1724,0.0934,0.0331,0.041,0.0222
,,671.875,0.2395,0.1198,0.1293,0.0567,0.0284,0.0306
,,675,0.2635,0.0814,0.1317,0.0621,0.0192,0.0311
,,678.125,0.1389,0.1006,0.1509,0.0326,0.0236,0.0354
,,681.25,0.2587,0.1557,0.0503,0.0604,0.0364,0.0118
,,684.375,0.0168,0.1102,0.1748,0.0039,0.0256,0.0407
,,687.5,0.2251,0.0479,0.1629,0.0521,0.0111,0.0377
,,690.625,0.1437,0.1126,0.1437,0.0331,0.0259,0.0331
,,693.75,0.2778,0.0503,0.2012,0.0637,0.0115,0.0462
,,696.875,0.0144,0.0359,0.0671,0.0033,0.0082,0.0153
,,700,0.364,0.0431,0.297,0.0828,0.0098,0.0675
,,703.125,0.1844,0.091,0.1629,0.0417,0.0206,0.0369
,,706.25,0.0216,0.0862,0.012,0.0049,0.0194,0.0027
,,709.375,0.2443,0.0647,0.1509,0.0548,0.0145,0.0339
,,712.5,0.0575,0.0862,0.0719,0.0128,0.0193,0.0161
,,715.625,0.1413,0.1198,0.2179,0.0314,0.0266,0.0485
,,718.75,0.3425,0.1054,0.2874,0.0758,0.0233,0.0636
,,721.875,0.3545,0.2467,0.3257,0.0782,0.0544,0.0718
,,725,0.115,0.2036,0.2515,0.0252,0.0447,0.0552
,,728.125,0.1892,0.0503,0.1413,0.0414,0.011,0.0309
,,731.25,0.1964,0.0695,0.0623,0.0427,0.0151,0.0136
,,734.375,0.1365,0.1245,0.0551,0.0296,0.027,0.0119
