mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-04T03:09:17.000Z,0,0.0455,2.8214,9.6664,Infinity,Infinity,Infinity
,,3.125,0.1533,0.1437,0.0814,7.8075,7.3186,4.1457
,,6.25,0.1245,0.2539,0.1653,3.1704,6.4655,4.2093
,,9.375,0.1102,0.1772,0.0216,1.8708,3.0082,0.3667
,,12.5,0.1796,0.079,0.2108,2.2867,1.0059,2.684
,,15.625,0.2563,0.1964,0.115,2.6107,2.0005,1.1714
,,18.75,0.1485,0.1844,0.1916,1.2605,1.5652,1.6264
,,21.875,0.0527,0.0455,0.1653,0.3834,0.331,1.2027
,,25,0.2419,0.079,0.3257,1.54,0.5029,2.0735
,,28.125,0.4718,0.4479,0.3856,2.6698,2.5346,2.182
,,31.25,0.1748,0.3209,0.1581,0.8902,1.6343,0.8052
,,34.375,0.2275,0.467,0.1509,1.0533,2.1622,0.6987
,,37.5,0.3784,0.1988,0.7664,1.606,0.8437,3.2527
,,40.625,1.8705,1.1975,1.528,7.328,4.6914,5.9862
,,43.75,0.4215,0.4575,0.5054,1.5333,1.6643,1.8386
,,46.875,0.9173,0.3736,0.3784,3.1145,1.2685,1.2848
,,50,0.5724,0.2203,0.9724,1.822,0.7012,3.0952
,,53.125,1.0538,1.0083,1.1233,3.157,3.0207,3.3652
,,56.25,0.2299,0.1605,0.2539,0.6505,0.4541,0.7184
,,59.375,0.115,0.2539,0.1293,0.3083,0.6806,0.3466
,,62.5,0.1006,0.2323,0.2946,0.2562,0.5915,0.7502
,,65.625,0.5389,0.5197,0.4383,1.307,1.2604,1.063
,,68.75,0.2203,0.285,0.4048,0.51,0.6598,0.9371
,,71.875,0.1317,0.1461,0.1269,0.2916,0.3235,0.281
,,75,0.1557,0.2682,0.3138,0.3304,0.5691,0.6659
,,78.125,0.0814,0.3018,0.7329,0.1658,0.6148,1.4931
,,81.25,0.2395,0.6347,0.4599,0.4691,1.2433,0.9009
,,84.375,0.2539,1.0682,0.5652,0.4789,2.0149,1.0661
,,87.5,0.3018,1.3843,0.6419,0.5489,2.5179,1.1676
,,90.625,0.8167,1.5879,1.8681,1.4343,2.7887,3.2807
,,93.75,0.024,1.1544,0.5078,0.0407,1.9598,0.8621
,,96.875,0.182,0.5101,0.3114,0.299,0.838,0.5116
,,100,0.194,0.2251,0.2132,0.3088,0.3583,0.3393
,,103.125,0.2323,0.3545,0.2251,0.3585,0.5471,0.3474
,,106.25,0.2587,0.4862,0.6323,0.3875,0.7283,0.9471
,,109.375,0.0958,0.2179,0.0838,0.1394,0.3171,0.1219
,,112.5,0.1677,0.3281,0.0862,0.2372,0.4642,0.1219
,,115.625,0.4239,0.5724,0.97,0.5835,0.7879,1.3352
,,118.75,0.206,0.2898,0.8694,0.2761,0.3884,1.1652
,,121.875,0.4167,0.273,1.0514,0.5442,0.3565,1.373
,,125,0.1796,0.1748,0.2443,0.2287,0.2226,0.3111
,,128.125,0.6562,0.5054,1.8274,0.8151,0.6278,2.27
,,131.25,1.152,0.4143,3.1064,1.3969,0.5024,3.7668
,,134.375,0.6491,0.2036,0.8694,0.7688,0.2411,1.0297
,,137.5,0.2371,0.1317,0.1772,0.2744,0.1524,0.2051
,,140.625,0.5988,0.3138,1.0802,0.6777,0.3551,1.2225
,,143.75,0.5844,0.5892,1.6167,0.647,0.6523,1.79
,,146.875,0.273,0.1365,0.3281,0.2958,0.1479,0.3555
,,150,0.1245,0.2778,0.309,0.1321,0.2948,0.3279
,,153.125,0.3569,0.3449,1.0826,0.371,0.3585,1.1252
,,156.25,0.2299,0.3473,0.1748,0.2342,0.3538,0.178
,,159.375,0.1102,0.2539,0.2515,0.11,0.2535,0.2512
,,162.5,0.2946,0.1748,0.5341,0.2885,0.1712,0.5231
,,165.625,0.2012,0.3018,0.2395,0.1933,0.29,0.2301
,,168.75,0.0407,0.6012,0.7281,0.0384,0.567,0.6867
,,171.875,0.7688,1.0203,0.3018,0.7119,0.9448,0.2795
,,175,0.4479,0.3928,0.1293,0.4073,0.3572,0.1176
,,178.125,0.2467,0.3377,0.3569,0.2204,0.3017,0.3189
,,181.25,0.3305,0.1389,0.2443,0.2902,0.122,0.2145
