mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000006,2022-04-25T07:43:17.000Z,0,0.6131,0.7688,10.2844,Infinity,Infinity,Infinity
,,137.5,0.2251,0.6036,NaN,0.2606,0.6987,NaN
,,139.0625,0.1509,0.6395,NaN,0.1727,0.7319,NaN
,,140.625,0.1006,0.2132,NaN,0.1139,0.2413,NaN
,,142.1875,0.1485,0.3329,NaN,0.1662,0.3726,NaN
,,143.75,0.1724,0.5461,NaN,0.1909,0.6046,NaN
,,145.3125,0.1724,0.2443,NaN,0.1888,0.2676,NaN
,,146.875,0.4551,0.9652,NaN,0.4932,1.0459,NaN
,,148.4375,0.1988,0.1413,NaN,0.2132,0.1515,NaN
,,150,0.1293,0.0647,NaN,0.1372,0.0686,NaN
,,151.5625,0.0647,0.3569,NaN,0.0679,0.3748,NaN
,,153.125,0.0671,0.1389,NaN,0.0697,0.1444,NaN
,,154.6875,0.1317,0.3904,0,0.1355,0.4017,0
,,156.25,0.0144,0.079,0.0862,0.0147,0.0805,0.0878
,,157.8125,0.0359,0.2323,0.0838,0.0362,0.2343,0.0845
,,159.375,0.079,0.2563,0.0479,0.0789,0.2559,0.0478
,,160.9375,0.1102,0.2156,0.079,0.109,0.2132,0.0781
,,162.5,0.1221,0.2802,0.0862,0.1196,0.2744,0.0844
,,164.0625,0.1198,0.3736,0.0575,0.1162,0.3624,0.0558
,,165.625,0.1629,0.1892,0.0527,0.1565,0.1818,0.0506
,,167.1875,0.1006,0.1413,0.0742,0.0958,0.1345,0.0706
,,168.75,0.0719,0.1485,0.0623,0.0678,0.1401,0.0588
,,170.3125,0.0958,0.0503,0.0862,0.0895,0.047,0.0806
,,171.875,0.3138,0.558,0.0862,0.2906,0.5167,0.0798
,,173.4375,0.1389,0.0623,0.0431,0.1275,0.0572,0.0396
,,175,0.0311,0.1748,0.0671,0.0283,0.159,0.061
,,176.5625,0.091,0.2635,0.0431,0.082,0.2375,0.0389
,,178.125,0.1724,0.3832,0.0671,0.154,0.3424,0.06
,,179.6875,0.1413,1.0059,0.0814,0.1252,0.891,0.0721
,,181.25,0.0168,0.2347,0.0383,0.0148,0.2061,0.0336
,,182.8125,0.0479,0.3209,0.0479,0.0417,0.2794,0.0417
,,184.375,0.0695,0.3928,0.0431,0.06,0.3391,0.0372
,,185.9375,0.0671,0.5533,0.0958,0.0574,0.4736,0.082
,,187.5,0.1509,0.4622,0.0335,0.1281,0.3923,0.0284
,,189.0625,0.1844,0.5197,0.0168,0.1552,0.4375,0.0141
,,190.625,0.024,0.4958,0.0527,0.02,0.4139,0.044
,,192.1875,0.0862,0.2251,0.0862,0.0714,0.1864,0.0714
,,193.75,0.0886,0.2084,0.0479,0.0728,0.1712,0.0393
,,195.3125,0.0647,0.0575,0.0072,0.0527,0.0469,0.0059
,,196.875,0.4143,0.879,0.0623,0.3349,0.7106,0.0504
,,198.4375,0.0263,0.5389,0.091,0.0211,0.4322,0.073
,,200,0.0671,0.2036,0.0144,0.0534,0.162,0.0115
,,201.5625,0.1557,0.3545,0.0263,0.1229,0.2799,0.0208
,,203.125,0.3042,0.7377,0.0168,0.2384,0.578,0.0132
,,204.6875,0.4048,0.8095,0.115,0.3148,0.6294,0.0894
,,206.25,0.2539,0.4455,0.1581,0.1959,0.3438,0.122
