mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-09T00:08:51.000Z,0,0.0216,2.6944,9.7143,Infinity,Infinity,Infinity
,,278.125,0.3545,0.0192,0.1293,0.2029,0.011,0.074
,,281.25,0.3353,0.1605,0.4263,0.1897,0.0908,0.2412
,,284.375,0.2227,0.0551,0.1269,0.1246,0.0308,0.071
,,287.5,0.2371,0.1269,0.1485,0.1313,0.0702,0.0822
,,290.625,0.4359,0.0719,0.0335,0.2387,0.0394,0.0183
,,293.75,0.1964,0.0551,0.0695,0.1064,0.0299,0.0377
,,296.875,0.17,0.079,0.0575,0.0911,0.0424,0.0308
,,300,0.091,0.0192,0.1054,0.0483,0.0102,0.0559
,,303.125,0.0383,0.1389,0.1485,0.0201,0.0729,0.078
,,306.25,0.1293,0.0862,0.1269,0.0672,0.0448,0.0659
,,309.375,0.2323,0.0623,0.012,0.1195,0.032,0.0062
,,312.5,0.2012,0.2132,0.2371,0.1025,0.1086,0.1208
,,315.625,0.1413,0.1653,0.2515,0.0713,0.0834,0.1268
,,318.75,0.467,0.1126,0.594,0.2332,0.0562,0.2966
,,321.875,0.2778,0.1605,0.4527,0.1374,0.0794,0.2238
,,325,0.2275,0.1653,0.0862,0.1114,0.0809,0.0422
,,328.125,0.2515,0.194,0.1174,0.122,0.0941,0.0569
,,331.25,0.1006,0.0383,0.1198,0.0483,0.0184,0.0576
,,334.375,0.0982,0.0671,0.1629,0.0467,0.0319,0.0775
,,337.5,0.2419,0.1629,0.1198,0.1141,0.0768,0.0565
,,340.625,0.2922,0.1916,0.3377,0.1365,0.0895,0.1578
,,343.75,0.309,0.1198,0.0958,0.1431,0.0555,0.0444
,,346.875,0.103,0.0671,0.1796,0.0473,0.0308,0.0824
,,350,0.0958,0.091,0.2036,0.0436,0.0414,0.0926
,,353.125,0.024,0.0814,0.1629,0.0108,0.0367,0.0734
,,356.25,0.194,0.0958,0.1006,0.0867,0.0428,0.0449
,,359.375,0.0958,0.1916,0.2203,0.0424,0.0849,0.0976
,,362.5,0.3688,0.2682,0.2706,0.1619,0.1178,0.1188
,,365.625,0.1389,0.1653,0.1796,0.0605,0.072,0.0782
,,368.75,0.3497,0.1509,0.2108,0.1509,0.0651,0.091
,,371.875,0.0671,0.0359,0.206,0.0287,0.0154,0.0882
,,375,0.0551,0.079,0.012,0.0234,0.0335,0.0051
,,378.125,0.0934,0.0599,0.1174,0.0393,0.0252,0.0494
,,381.25,0.0671,0.091,0.0886,0.028,0.038,0.037
,,384.375,0.1796,0.0934,0.0431,0.0744,0.0387,0.0178
,,387.5,0.17,0.0599,0.0671,0.0698,0.0246,0.0276
,,390.625,0.0647,0.1605,0.1629,0.0264,0.0654,0.0664
,,393.75,0.1198,0.0719,0.0503,0.0484,0.0291,0.0203
,,396.875,0.3233,0.0551,0.0263,0.1296,0.0221,0.0105
,,400,0.0407,0.1221,0.0862,0.0162,0.0486,0.0343
,,403.125,0.2371,0.1245,0.1557,0.0936,0.0492,0.0615
,,406.25,0.0862,0.3305,0.1988,0.0338,0.1295,0.0779
