X,Y,Z
1,950,0.0838
1,953.125,0.115
1,956.25,0.079
1,959.375,0.0527
1,962.5,0.0383
1,965.625,0.0599
1,968.75,0.0455
1,971.875,0.0144
1,975,0.0311
1,978.125,0.0647
1,981.25,0.1413
1,984.375,0.0527
1,987.5,0.0287
1,990.625,0.1102
1,993.75,0.091
1,996.875,0.1269
1,1000,0.0407
1,1.003.125,0.1006
1,1006.25,0.0335
1,1.009.375,0.0455
1,1012.5,0.012
1,1.015.625,0.0647
1,1018.75,0.0599
1,1.021.875,0.0144
1,1025,0.0383
1,1.028.125,0.0431
1,1031.25,0.0575
1,1.034.375,0.0192
1,1037.5,0.0814
1,1.040.625,0.0982
1,1043.75,0.0814
1,1.046.875,0.0934
1,1050,0.0958
1,1.053.125,0.1413
1,1056.25,0.0623
1,1.059.375,0.0647
1,1062.5,0.0431
1,1.065.625,0.0623
1,1068.75,0.0359
1,1.071.875,0.0814
1,1075,0.0503
1,1.078.125,0.0216
1,1081.25,0.012
1,1.084.375,0.0742
1,1087.5,0.0335
1,1.090.625,0.0216
1,1093.75,0.0192
1,1.096.875,0.0431
1,1100,0.0503
1,1.103.125,0.0527
1,1106.25,0.0623
1,1.109.375,0.2539
1,1112.5,0.115
1,1.115.625,0.0671
1,1118.75,0.0742
1,1.121.875,0.0216
1,1125,0.0551
1,1.128.125,0.0958
1,1131.25,0.0287
1,1.134.375,0.0958
1,1137.5,0.0934
1,1.140.625,0.103
1,1143.75,0.1509
1,1.146.875,0.0862
1,1150,0.1437
1,1.153.125,0.1293
1,1156.25,0.0479
1,1.159.375,0.1365
1,1162.5,0.1245
1,1.165.625,0.0431
1,1168.75,0.1317
1,1.171.875,0.0671
1,1175,0.2179
1,1.178.125,0.115
1,1181.25,0.0575
1,1.184.375,0.0766
1,1187.5,0.091
1,1.190.625,0.0934
1,1193.75,0.0431
1,1.196.875,0.0838
1,1200,0.0192
1,1.203.125,0.1341
1,1206.25,0.0958
1,1.209.375,0.1509
1,1212.5,0.0934
1,1.215.625,0.0575
1,1218.75,0.1365
1,1.221.875,0.1796
1,1225,0.1988
1,1.228.125,0.0383
1,1231.25,0.1509
1,1.234.375,0.0958
1,1237.5,0.0359
1,1.240.625,0.0958
1,1243.75,0.1198
1,1.246.875,0.2084
1,1250,0.1198
1,1.253.125,0
1,1256.25,0
1,1.259.375,0
1,1262.5,0
1,1.265.625,0
1,1268.75,0
1,1.271.875,0
1,1275,0
1,1.278.125,0
1,1281.25,0
1,1.284.375,0
1,1287.5,0
1,1.290.625,0.0958
1,1293.75,0.0623
1,1.296.875,0.0862
1,1300,0.1389
1,1.303.125,0.0431
1,1306.25,0.0671
1,1.309.375,0.0575
1,1312.5,0.1557
1,1.315.625,0.0551
1,1318.75,0.0359
1,1.321.875,0.0192
1,1325,0.0479
1,1.328.125,0.012
1,1331.25,0.0335
1,1.334.375,0.0503
1,1337.5,0.0551
1,1.340.625,0.0455
1,1343.75,0.0216
1,1.346.875,0.0623
1,1350,0.0623
1,1.353.125,0.0431
1,1356.25,0.0216
1,1.359.375,0.0742
1,1362.5,0.0695
1,1.365.625,0.0431
1,1368.75,0.0431
1,1.371.875,0.012
1,1375,0.0383
1,1.378.125,0.0479
1,1381.25,0.0263
1,1.384.375,0.0431
1,1387.5,0.0431
1,1.390.625,0.0623
1,1393.75,0.0287
1,1.396.875,0.0934
1,1400,0.0695
1,1.403.125,0.0192
1,1406.25,0.0216
1,1.409.375,0.0335
1,1412.5,0.0287
1,1.415.625,0.0144
1,1418.75,0.0575
1,1.421.875,0.012
1,1425,0.012
1,1.428.125,0.0072
1,1431.25,0.0216
1,1.434.375,0.0192
1,1437.5,0.0072
1,1.440.625,0.0359
1,1443.75,0.0192
1,1.446.875,0.0335
1,1450,0.0168
1,1.453.125,0.0192
1,1456.25,0.0216
1,1.459.375,0.0168
1,1462.5,0.0216
1,1.465.625,0.0216
1,1468.75,0.0287
1,1.471.875,0.0335
1,1475,0.0072
1,1.478.125,0.0431
1,1481.25,0.0072
1,1.484.375,0.0168
1,1487.5,0
1,1.490.625,0.0192
1,1493.75,0.012
1,1.496.875,0.0144
1,1500,0.0144
1,1.503.125,0.0311
1,1506.25,0.0144
1,1.509.375,0.0311
1,1512.5,0.0072
1,1.515.625,0.0168
1,1518.75,0.0335
1,1.521.875,0.0168
1,1525,0.0072
1,1.528.125,0.0287
1,1531.25,0.024
1,1.534.375,0.0048
1,1537.5,0.0168
1,1.540.625,0.0216
1,1543.75,0.012
1,1.546.875,0.024
1,1550,0
1,1.553.125,0.0216
1,1556.25,0.0072
1,1.559.375,0.0144
1,1562.5,0.012
1,1.565.625,0.0072
1,1568.75,0.0263
1,1.571.875,0.0216
1,1575,0.012
1,1.578.125,0.0263
1,1581.25,0.0192
1,1.584.375,0.0263
1,1587.5,0.0072
1,1.590.625,0.0335
1,1593.75,0.0192
1,1.596.875,0.0216
1,1600,0
