mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000004,2022-04-27T03:27:07.000Z,0,3.8848,NaN,8.924,Infinity,NaN,Infinity
,,139.0625,0.0479,0.0383,0.0886,0.0548,0.0438,0.1014
,,140.625,0.0551,0.0671,0.0623,0.0624,0.0759,0.0705
,,142.1875,0.0527,0.0144,0.0383,0.059,0.0161,0.0429
,,143.75,0.0551,0.0072,0.0072,0.061,0.008,0.008
,,145.3125,0.0838,0,0.0551,0.0918,0,0.0603
,,146.875,0.0359,0.024,0.0383,0.0389,0.026,0.0415
,,148.4375,0.0503,0.0287,0.0862,0.0539,0.0308,0.0924
,,150,0.0671,0.0671,0.1844,0.0712,0.0712,0.1957
,,151.5625,0.0503,0.0479,0.024,0.0528,0.0503,0.0252
,,153.125,0.012,0.0359,0.0527,0.0125,0.0373,0.0548
,,154.6875,0.0719,0.0551,0.0623,0.074,0.0567,0.0641
,,156.25,0.0623,0.0359,0.0575,0.0635,0.0366,0.0586
,,157.8125,0.0263,0.0599,0.1461,0.0265,0.0604,0.1473
,,159.375,0.0359,0.0335,0.0551,0.0359,0.0335,0.055
,,160.9375,0.0623,0,0.0311,0.0616,0,0.0308
,,162.5,0.0263,0.012,0.1269,0.0258,0.0118,0.1243
,,164.0625,0.0575,0.0479,0,0.0558,0.0465,0
,,165.625,0.0742,0.0695,0.0551,0.0713,0.0668,0.0529
,,167.1875,0.1054,0.0311,0.0719,0.1003,0.0296,0.0684
,,168.75,0.1078,0.0311,0.1078,0.1017,0.0293,0.1017
,,170.3125,0.0599,0.0072,0.012,0.056,0.0067,0.0112
,,171.875,0.0168,0.0958,0.0407,0.0156,0.0887,0.0377
,,173.4375,0.091,0.0527,0.1102,0.0835,0.0484,0.1011
,,175,0.0766,0.091,0.0886,0.0697,0.0828,0.0806
,,176.5625,NaN,0.0431,0.0647,NaN,0.0389,0.0583
,,178.125,NaN,0.0695,0.0311,NaN,0.0621,0.0278
,,179.6875,NaN,0.1269,0.0886,NaN,0.1124,0.0785
