mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000005,2022-05-07T04:17:18.000Z,0,0.4359,4.0045,NaN,Infinity,Infinity,NaN
,,343.75,NaN,0.2419,NaN,NaN,0.112,NaN
,,346.875,NaN,0.3569,NaN,NaN,0.1638,NaN
,,350,NaN,0.0671,NaN,NaN,0.0305,NaN
,,353.125,NaN,0.4479,NaN,NaN,0.2019,NaN
,,356.25,NaN,0.1724,NaN,NaN,0.077,NaN
,,359.375,NaN,0.4096,NaN,NaN,0.1814,NaN
,,362.5,NaN,0.2515,NaN,NaN,0.1104,NaN
,,365.625,NaN,0.1724,NaN,NaN,0.075,NaN
,,368.75,NaN,0.4551,NaN,NaN,0.1964,NaN
,,371.875,NaN,0.4359,NaN,NaN,0.1866,NaN
,,375,NaN,0.0719,NaN,NaN,0.0305,NaN
,,378.125,NaN,0.1437,NaN,NaN,0.0605,NaN
,,381.25,NaN,0.1796,0,NaN,0.075,0
,,384.375,NaN,0.2275,0.1269,NaN,0.0942,0.0525
,,387.5,NaN,0.1533,0.1006,NaN,0.063,0.0413
,,390.625,0.0359,0.103,0.1581,0.0146,0.042,0.0644
,,393.75,0.2754,0.182,0.1006,0.1113,0.0736,0.0407
,,396.875,0.0982,0.1198,0.0527,0.0394,0.048,0.0211
,,400,0.309,0.1724,0.115,0.1229,0.0686,0.0458
,,403.125,0.3976,NaN,0.1102,0.157,NaN,0.0435
,,406.25,0.1269,NaN,0.2108,0.0497,NaN,0.0826
,,409.375,0.2539,NaN,0.0575,0.0987,NaN,0.0224
,,412.5,0.5245,NaN,0.115,0.2024,NaN,0.0444
,,415.625,0.4886,NaN,0.0671,0.1871,NaN,0.0257
,,418.75,0.4503,NaN,0.182,0.1711,NaN,0.0692
,,421.875,0.2515,NaN,0.103,0.0949,NaN,0.0389
,,425,0.3688,NaN,0.1844,0.1381,NaN,0.0691
,,428.125,0.4862,NaN,0.4,0.1807,NaN,0.1487
,,431.25,0.2754,NaN,0.0814,0.1016,NaN,0.03
,,434.375,0.388,NaN,0.0886,0.1422,NaN,0.0325
,,437.5,0.1317,NaN,0.2922,0.0479,NaN,0.1063
,,440.625,0.2874,NaN,0.0287,0.1038,NaN,0.0104
,,443.75,0.1724,NaN,0.1054,0.0618,NaN,0.0378
,,446.875,0.8478,NaN,0.2682,0.3019,NaN,0.0955
,,450,0.2156,NaN,0.0623,0.0763,NaN,0.022
,,453.125,0.2132,NaN,NaN,0.0749,NaN,NaN
,,456.25,0.2491,NaN,NaN,0.0869,NaN,NaN
,,459.375,0.4551,NaN,NaN,0.1577,NaN,NaN
,,462.5,0.3688,NaN,NaN,0.1269,NaN,NaN
,,465.625,0.1054,NaN,NaN,0.036,NaN,NaN
,,468.75,0.1724,NaN,NaN,0.0585,NaN,NaN
,,471.875,0.1724,NaN,NaN,0.0581,NaN,NaN
,,475,0.3257,0,NaN,0.1091,0,NaN
,,478.125,0.182,0.1437,NaN,0.0606,0.0478,NaN
,,481.25,0.0695,0.1269,NaN,0.023,0.042,NaN
,,484.375,0.1868,0.1341,NaN,0.0614,0.0441,NaN
,,487.5,0.2826,0.0766,NaN,0.0923,0.025,NaN
,,490.625,0.2084,0.1485,NaN,0.0676,0.0482,NaN
,,493.75,0.1629,0.012,NaN,0.0525,0.0039,NaN
,,496.875,0.2227,0.1245,NaN,0.0713,0.0399,NaN
,,500,0.1581,0.1533,NaN,0.0503,0.0488,NaN
,,503.125,0.1054,0.1102,NaN,0.0333,0.0349,NaN
,,506.25,0.2251,0.2203,NaN,0.0708,0.0693,NaN
,,509.375,0.3018,0.1413,NaN,0.0943,0.0441,NaN
,,512.5,0.3233,NaN,NaN,0.1004,NaN,NaN
,,515.625,0.115,NaN,NaN,0.0355,NaN,NaN
,,518.75,0.2251,NaN,NaN,0.0691,NaN,NaN
,,521.875,0.0431,NaN,NaN,0.0131,NaN,NaN
,,525,0.1221,NaN,NaN,0.037,NaN,NaN
,,528.125,0.3712,NaN,NaN,0.1119,NaN,NaN
,,531.25,0.1748,NaN,NaN,0.0524,NaN,NaN
,,534.375,NaN,NaN,NaN,NaN,NaN,NaN
,,537.5,NaN,NaN,NaN,NaN,NaN,NaN
,,540.625,NaN,NaN,NaN,NaN,NaN,NaN
,,543.75,NaN,NaN,NaN,NaN,NaN,NaN
,,546.875,NaN,NaN,NaN,NaN,NaN,NaN
,,550,NaN,NaN,NaN,NaN,NaN,NaN
,,553.125,NaN,NaN,NaN,NaN,NaN,NaN
,,556.25,NaN,NaN,NaN,NaN,NaN,NaN
,,559.375,NaN,NaN,NaN,NaN,NaN,NaN
,,562.5,NaN,NaN,NaN,NaN,NaN,NaN
,,565.625,NaN,NaN,NaN,NaN,NaN,NaN
,,568.75,0,NaN,NaN,0,NaN,NaN
,,571.875,0.3664,NaN,NaN,0.102,NaN,NaN
,,575,0.2323,NaN,NaN,0.0643,NaN,NaN
,,578.125,0.0671,NaN,NaN,0.0185,NaN,NaN
,,581.25,0.1317,NaN,NaN,0.0361,NaN,NaN
,,584.375,0.0862,NaN,NaN,0.0235,NaN,NaN
,,587.5,0.0982,NaN,NaN,0.0266,NaN,NaN
,,590.625,0.2012,NaN,NaN,0.0542,NaN,NaN
,,593.75,0.2659,NaN,NaN,0.0713,NaN,NaN
,,596.875,0.2036,NaN,0,0.0543,NaN,0
,,600,0.1653,NaN,0.1221,0.0438,NaN,0.0324
,,603.125,0.103,NaN,0.0503,0.0272,NaN,0.0133
,,606.25,NaN,NaN,0.0958,NaN,NaN,0.0251
,,609.375,NaN,NaN,0.1245,NaN,NaN,0.0325
,,612.5,NaN,NaN,0.079,NaN,NaN,0.0205
,,615.625,NaN,NaN,0.1198,NaN,NaN,0.031
,,618.75,NaN,0,0.0623,NaN,0,0.016
,,621.875,NaN,0.0431,0.2443,NaN,0.011,0.0625
,,625,NaN,0.0383,0.0719,NaN,0.0098,0.0183
,,628.125,NaN,0.0742,0.0958,NaN,0.0188,0.0243
,,631.25,NaN,0.2898,0.1102,NaN,0.0731,0.0278
,,634.375,NaN,0.0766,NaN,NaN,0.0192,NaN
,,637.5,NaN,0.091,NaN,NaN,0.0227,NaN
,,640.625,0,0.0623,NaN,0,0.0155,NaN
,,643.75,0.1605,0.1653,NaN,0.0397,0.0409,NaN
,,646.875,0.2203,0.1341,NaN,0.0542,0.033,NaN
,,650,0.2156,0.012,NaN,0.0528,0.0029,NaN
,,653.125,0.3066,0.1964,NaN,0.0747,0.0479,NaN
,,656.25,0.0814,0.091,NaN,0.0197,0.0221,NaN
,,659.375,0.1557,0.091,NaN,0.0376,0.022,NaN
,,662.5,0.0263,0.0958,NaN,0.0063,0.023,NaN
,,665.625,0.2443,0.1198,NaN,0.0584,0.0286,NaN
,,668.75,0.1054,0.0575,0,0.0251,0.0137,0
,,671.875,0.0766,0.1269,0.091,0.0181,0.0301,0.0216
,,675,0.103,0.0647,0.091,0.0243,0.0153,0.0215
,,678.125,NaN,0.1102,0.1629,NaN,0.0259,0.0382
,,681.25,NaN,0.0527,0.1988,NaN,0.0123,0.0464
,,684.375,NaN,0.0407,0.0814,NaN,0.0095,0.0189
,,687.5,NaN,0.1892,0.1174,NaN,0.0438,0.0272
,,690.625,NaN,NaN,0.0862,NaN,NaN,0.0199
,,693.75,NaN,NaN,0.0575,NaN,NaN,0.0132
,,696.875,NaN,NaN,0.0647,NaN,NaN,0.0148
,,700,NaN,NaN,0.0479,NaN,NaN,0.0109
,,703.125,NaN,NaN,0.2132,NaN,NaN,0.0483
,,706.25,NaN,NaN,NaN,NaN,NaN,NaN
,,709.375,NaN,NaN,NaN,NaN,NaN,NaN
,,712.5,0,NaN,NaN,0,NaN,NaN
,,715.625,0.17,NaN,NaN,0.0378,NaN,NaN
,,718.75,0.091,NaN,NaN,0.0202,NaN,NaN
,,721.875,0.2371,NaN,NaN,0.0523,NaN,NaN
,,725,0.1269,NaN,NaN,0.0279,NaN,NaN
,,728.125,0.1988,NaN,NaN,0.0435,NaN,NaN
,,731.25,0.2108,NaN,NaN,0.0459,NaN,NaN
,,734.375,0.2611,NaN,NaN,0.0566,NaN,NaN
,,737.5,0.115,NaN,NaN,0.0248,NaN,NaN
,,740.625,0.1605,NaN,0,0.0345,NaN,0
,,743.75,0.0287,NaN,0.0216,0.0061,NaN,0.0046
,,746.875,0.1078,NaN,0.0311,0.023,NaN,0.0066
,,750,0.0168,NaN,0.0647,0.0036,NaN,0.0137
,,753.125,0.1533,NaN,0.0431,0.0324,NaN,0.0091
,,756.25,0.0527,NaN,0.0479,0.0111,NaN,0.0101
,,759.375,0.079,NaN,0.0527,0.0166,NaN,0.011
,,762.5,0.0647,NaN,0.0479,0.0135,NaN,0.01
,,765.625,0.0623,NaN,0.0958,0.013,NaN,0.0199
,,768.75,0.1557,NaN,0.1078,0.0322,NaN,0.0223
,,771.875,0.364,NaN,0.1605,0.0751,NaN,0.0331
,,775,0.1317,NaN,0.0527,0.027,NaN,0.0108
,,778.125,0.2515,NaN,0.0934,0.0514,NaN,0.0191
,,781.25,0.0814,NaN,0.0192,0.0166,NaN,0.0039
,,784.375,NaN,NaN,0.0479,NaN,NaN,0.0097
,,787.5,NaN,NaN,0.103,NaN,NaN,0.0208
,,790.625,NaN,NaN,0.012,NaN,NaN,0.0024
,,793.75,NaN,NaN,0.1102,NaN,NaN,0.0221
,,796.875,NaN,NaN,0.0479,NaN,NaN,0.0096
,,800,NaN,0.1365,0.1006,NaN,0.0272,0.02
,,803.125,NaN,0.0958,0.1796,NaN,0.019,0.0356
,,806.25,NaN,0.0575,0.0742,NaN,0.0114,0.0146
,,809.375,NaN,0.1629,0.0838,NaN,0.032,0.0165
,,812.5,NaN,0,0.0144,NaN,0,0.0028
,,815.625,NaN,0.0479,0.0647,NaN,0.0093,0.0126
,,818.75,NaN,0.0431,0.0359,NaN,0.0084,0.007
,,821.875,0.0647,0.0982,0.1437,0.0125,0.019,0.0278
,,825,0.1605,0.0814,0.0383,0.031,0.0157,0.0074
,,828.125,0.0479,0.1916,0.0814,0.0092,0.0368,0.0156
,,831.25,0.1006,0.0431,0.0982,0.0193,0.0083,0.0188
,,834.375,0.1245,0.0958,0.0623,0.0237,0.0183,0.0119
,,837.5,0.2299,0.2132,0.0671,0.0437,0.0405,0.0128
,,840.625,0.0551,0.1341,0.079,0.0104,0.0254,0.015
,,843.75,0.1078,0.0671,0.0048,0.0203,0.0127,0.0009
,,846.875,0.2347,0.0479,0.0407,0.0441,0.009,0.0076
,,850,0.0934,0.2299,NaN,0.0175,0.043,NaN
,,853.125,0.2539,0.0503,NaN,0.0474,0.0094,NaN
,,856.25,0.0934,0.0958,NaN,0.0174,0.0178,NaN
,,859.375,0.1653,0.0886,NaN,0.0306,0.0164,NaN
,,862.5,0.0695,0.0479,NaN,0.0128,0.0088,NaN
,,865.625,0.1892,0.1677,NaN,0.0348,0.0308,NaN
,,868.75,0.1437,0.1054,NaN,0.0263,0.0193,NaN
,,871.875,0.1653,0.1006,NaN,0.0302,0.0184,NaN
,,875,0.091,0.1102,NaN,0.0166,0.02,NaN
,,878.125,0.1006,0.0671,NaN,0.0182,0.0122,NaN
,,881.25,0.2994,0.1293,NaN,0.0541,0.0234,NaN
,,884.375,0.0359,0.091,0,0.0065,0.0164,0
,,887.5,0.012,0.0623,0.0958,0.0022,0.0112,0.0172
,,890.625,0.1413,0.0862,0.0527,0.0253,0.0154,0.0094
,,893.75,NaN,0.0886,0.0599,NaN,0.0158,0.0107
,,896.875,NaN,0.1581,0.0647,NaN,0.0281,0.0115
,,900,NaN,0.1221,0.1437,NaN,0.0216,0.0254
,,903.125,NaN,0.1174,0.0742,NaN,0.0207,0.0131
,,906.25,NaN,NaN,0.1006,NaN,NaN,0.0177
,,909.375,NaN,NaN,0.0383,NaN,NaN,0.0067
,,912.5,NaN,NaN,0.2012,NaN,NaN,0.0351
,,915.625,NaN,NaN,0.1006,NaN,NaN,0.0175
,,918.75,NaN,NaN,0.1078,NaN,NaN,0.0187
,,921.875,NaN,NaN,0.1269,NaN,NaN,0.0219
,,925,NaN,NaN,0.1605,NaN,NaN,0.0276
,,928.125,0,NaN,0.024,0,NaN,0.0041
,,931.25,0.2323,NaN,0.0719,0.0397,NaN,0.0123
,,934.375,0.1581,NaN,0.0503,0.0269,NaN,0.0086
,,937.5,0.2754,NaN,0.0335,0.0468,NaN,0.0057
,,940.625,0.1964,NaN,0.0383,0.0332,NaN,0.0065
,,943.75,0.3353,0.1868,0.0958,0.0565,0.0315,0.0162
,,946.875,0.1485,0.2084,0.091,0.025,0.035,0.0153
,,950,0.2395,0.1964,0.0934,0.0401,0.0329,0.0156
,,953.125,0.1964,0.0575,0.2299,0.0328,0.0096,0.0384
,,956.25,0.1629,0.0862,0.2156,0.0271,0.0143,0.0359
,,959.375,0.1653,0.0695,0.0503,0.0274,0.0115,0.0083
,,962.5,0.4527,0.1198,0.182,0.0749,0.0198,0.0301
,,965.625,0.2275,0.0407,0.0647,0.0375,0.0067,0.0107
,,968.75,0.3736,0.1221,0.1341,0.0614,0.0201,0.022
,,971.875,0.3018,0.0527,0.0623,0.0494,0.0086,0.0102
,,975,0.0647,0.0551,0.115,0.0106,0.009,0.0188
,,978.125,0.4048,NaN,0.3018,0.0659,NaN,0.0491
,,981.25,0.1006,NaN,0.0671,0.0163,NaN,0.0109
,,984.375,0.0383,NaN,0.1293,0.0062,NaN,0.0209
,,987.5,0.3209,NaN,0.2251,0.0517,NaN,0.0363
,,990.625,0.2491,NaN,0.2635,0.04,NaN,0.0423
,,993.75,0.3401,NaN,0.4,0.0545,NaN,0.0641
,,996.875,0.3281,NaN,0.297,0.0524,NaN,0.0474
,,1000,0.285,NaN,0.2706,0.0454,NaN,0.0431
,,1003.125,0.4359,NaN,0.2539,0.0692,NaN,0.0403
,,1006.25,0.3952,NaN,0.0527,0.0625,NaN,0.0083
,,1009.375,0.1653,NaN,0.2012,0.0261,NaN,0.0317
,,1012.5,0.0503,NaN,0.0144,0.0079,NaN,0.0023
,,1015.625,0.0527,0.2275,0.2443,0.0083,0.0357,0.0383
,,1018.75,0.1772,0.0623,0.0623,0.0277,0.0097,0.0097
,,1021.875,0.1198,0.079,0.091,0.0187,0.0123,0.0142
,,1025,0.2012,0.0742,0.1461,0.0312,0.0115,0.0227
,,1028.125,0.2108,0.0287,NaN,0.0326,0.0044,NaN
,,1031.25,0.1844,0.0072,NaN,0.0285,0.0011,NaN
,,1034.375,0.3736,0.1629,NaN,0.0575,0.0251,NaN
,,1037.5,0.2659,0.2108,NaN,0.0408,0.0323,NaN
,,1040.625,0.0814,0.0431,NaN,0.0124,0.0066,NaN
,,1043.75,0.182,0.2251,NaN,0.0278,0.0343,NaN
,,1046.875,0.2251,0.091,NaN,0.0342,0.0138,NaN
,,1050,0.297,0.0814,NaN,0.045,0.0123,NaN
,,1053.125,0.194,0.0359,NaN,0.0293,0.0054,NaN
,,1056.25,0.1724,0.103,NaN,0.026,0.0155,NaN
,,1059.375,0.1126,0.079,NaN,0.0169,0.0119,NaN
,,1062.5,0.1078,0.1126,NaN,0.0161,0.0169,NaN
,,1065.625,0.1964,0.1102,NaN,0.0293,0.0165,NaN
,,1068.75,0.1653,0.1174,NaN,0.0246,0.0175,NaN
,,1071.875,0.1772,0.0575,NaN,0.0263,0.0085,NaN
,,1075,0.0719,0.0838,NaN,0.0106,0.0124,NaN
,,1078.125,0.1772,0.115,NaN,0.0262,0.017,NaN
,,1081.25,0.2347,0.2036,NaN,0.0345,0.03,NaN
,,1084.375,0.1054,0.0695,NaN,0.0155,0.0102,NaN
,,1087.5,0.2347,0.0719,NaN,0.0343,0.0105,NaN
,,1090.625,0.1437,0.1198,NaN,0.021,0.0175,NaN
,,1093.75,0.2682,0.2203,NaN,0.039,0.0321,NaN
,,1096.875,0.2179,0.1269,NaN,0.0316,0.0184,NaN
,,1100,0.1174,0.1006,0,0.017,0.0146,0
,,1103.125,0.0719,0.1485,0.0551,0.0104,0.0214,0.0079
,,1106.25,0.2251,0.103,0.3114,0.0324,0.0148,0.0448
,,1109.375,0.1485,0.012,0.0862,0.0213,0.0017,0.0124
,,1112.5,0.1653,0.0359,0.1557,0.0236,0.0051,0.0223
,,1115.625,0.1198,0.0575,0.2108,0.0171,0.0082,0.0301
,,1118.75,0.0862,0.0599,0.0263,0.0123,0.0085,0.0037
,,1121.875,0.1102,0.0719,0.1102,0.0156,0.0102,0.0156
,,1125,0.0934,0.0335,0.0455,0.0132,0.0047,0.0064
,,1128.125,0.0886,0.0982,0.1293,0.0125,0.0139,0.0182
,,1131.25,0.0623,0.0838,0.1796,0.0088,0.0118,0.0253
,,1134.375,0.2227,0.0575,0.2539,0.0312,0.0081,0.0356
,,1137.5,0.0144,0.1054,NaN,0.002,0.0147,NaN
,,1140.625,0.0311,0.0766,NaN,0.0043,0.0107,NaN
,,1143.75,0.1437,0.2084,NaN,0.02,0.029,NaN
,,1146.875,0.0934,0.0527,NaN,0.013,0.0073,NaN
,,1150,0.0407,0.1006,NaN,0.0056,0.0139,NaN
,,1153.125,0.1413,0.0144,NaN,0.0195,0.002,NaN
,,1156.25,0.091,0.0719,NaN,0.0125,0.0099,NaN
,,1159.375,0.1126,NaN,NaN,0.0155,NaN,NaN
,,1162.5,0.0623,NaN,NaN,0.0085,NaN,NaN
,,1165.625,0.1221,NaN,NaN,0.0167,NaN,NaN
,,1168.75,0.0359,NaN,NaN,0.0049,NaN,NaN
,,1171.875,0.0886,NaN,0,0.012,NaN,0
,,1175,0.115,NaN,0.0263,0.0156,NaN,0.0036
,,1178.125,0.115,NaN,0.091,0.0155,NaN,0.0123
,,1181.25,0.0742,NaN,0.1365,0.01,NaN,0.0184
,,1184.375,0.1341,NaN,0.0335,0.018,NaN,0.0045
,,1187.5,0.0551,NaN,0.1293,0.0074,NaN,0.0173
,,1190.625,0.0335,NaN,0,0.0045,NaN,0
,,1193.75,0.024,NaN,0.1389,0.0032,NaN,0.0185
,,1196.875,0.0958,NaN,0.0551,0.0127,NaN,0.0073
,,1200,0.1389,NaN,0.1605,0.0184,NaN,0.0213
,,1203.125,0.0862,NaN,0.1653,0.0114,NaN,0.0219
,,1206.25,0.0144,NaN,0.0575,0.0019,NaN,0.0076
,,1209.375,0.0479,NaN,0.1365,0.0063,NaN,0.018
,,1212.5,0.0359,NaN,0.0575,0.0047,NaN,0.0075
,,1215.625,0.1102,NaN,0.2012,0.0144,NaN,0.0263
,,1218.75,0.0934,NaN,0.1341,0.0122,NaN,0.0175
,,1221.875,0.0335,NaN,0.1509,0.0044,NaN,0.0197
,,1225,0.0862,NaN,0.2227,0.0112,NaN,0.0289
,,1228.125,0.0168,NaN,0.0192,0.0022,NaN,0.0025
,,1231.25,0.0838,NaN,0.0814,0.0108,NaN,0.0105
,,1234.375,0.0144,NaN,0.0838,0.0019,NaN,0.0108
,,1237.5,0.0623,NaN,0.0742,0.008,NaN,0.0095
,,1240.625,0.0527,NaN,0.0503,0.0068,NaN,0.0065
,,1243.75,0.0263,NaN,NaN,0.0034,NaN,NaN
,,1246.875,0.0982,NaN,NaN,0.0125,NaN,NaN
,,1250,0.0431,NaN,NaN,0.0055,NaN,NaN
,,1253.125,0.0862,NaN,NaN,0.0109,NaN,NaN
,,1256.25,0.0695,NaN,NaN,0.0088,NaN,NaN
,,1259.375,0.0431,NaN,NaN,0.0054,NaN,NaN
,,1262.5,0.091,NaN,NaN,0.0115,NaN,NaN
,,1265.625,0.0383,NaN,NaN,0.0048,NaN,NaN
,,1268.75,0.0742,NaN,NaN,0.0093,NaN,NaN
,,1271.875,0.0479,NaN,NaN,0.006,NaN,NaN
,,1275,0.0479,NaN,NaN,0.006,NaN,NaN
,,1278.125,0.0862,NaN,NaN,0.0107,NaN,NaN
,,1281.25,0.0335,NaN,NaN,0.0042,NaN,NaN
,,1284.375,0.0599,NaN,NaN,0.0074,NaN,NaN
,,1287.5,0.012,NaN,NaN,0.0015,NaN,NaN
,,1290.625,0.0431,NaN,NaN,0.0053,NaN,NaN
,,1293.75,0.024,NaN,NaN,0.003,NaN,NaN
,,1296.875,0.103,NaN,NaN,0.0126,NaN,NaN
,,1300,0.0263,NaN,NaN,0.0032,NaN,NaN
,,1303.125,0.0144,NaN,NaN,0.0018,NaN,NaN
,,1306.25,0.0647,NaN,NaN,0.0079,NaN,NaN
,,1309.375,0.0766,NaN,NaN,0.0093,NaN,NaN
,,1312.5,0.024,NaN,NaN,0.0029,NaN,NaN
,,1315.625,0.0766,NaN,NaN,0.0093,NaN,NaN
,,1318.75,0.1221,NaN,NaN,0.0147,NaN,NaN
,,1321.875,0.0623,NaN,NaN,0.0075,NaN,NaN
,,1325,NaN,NaN,NaN,NaN,NaN,NaN
,,1328.125,NaN,NaN,NaN,NaN,NaN,NaN
,,1331.25,NaN,NaN,NaN,NaN,NaN,NaN
,,1334.375,NaN,NaN,NaN,NaN,NaN,NaN
,,1337.5,NaN,0,NaN,NaN,0,NaN
,,1340.625,NaN,0.0623,NaN,NaN,0.0074,NaN
,,1343.75,NaN,0.0742,NaN,NaN,0.0088,NaN
,,1346.875,NaN,0.0407,NaN,NaN,0.0048,NaN
,,1350,NaN,0.0216,NaN,NaN,0.0025,NaN
,,1353.125,NaN,0.0862,0.079,NaN,0.0101,0.0093
,,1356.25,NaN,0.1054,0.024,NaN,0.0124,0.0028
,,1359.375,NaN,0.0431,0.1006,NaN,0.005,0.0118
,,1362.5,NaN,0.0814,0.0838,NaN,0.0095,0.0098
,,1365.625,NaN,0.0455,0.182,NaN,0.0053,0.0212
,,1368.75,NaN,0.0671,0.0838,NaN,0.0078,0.0097
,,1371.875,NaN,0.0742,0.0431,NaN,0.0086,0.005
,,1375,NaN,NaN,0.0551,NaN,NaN,0.0064
,,1378.125,NaN,NaN,0.1677,NaN,NaN,0.0194
,,1381.25,NaN,NaN,0.1964,NaN,NaN,0.0226
,,1384.375,NaN,NaN,0.0766,NaN,NaN,0.0088
,,1387.5,NaN,NaN,0.0886,NaN,NaN,0.0102
,,1390.625,NaN,NaN,0.1006,NaN,NaN,0.0115
,,1393.75,NaN,NaN,0.2108,NaN,NaN,0.0241
,,1396.875,NaN,NaN,0.1174,NaN,NaN,0.0134
,,1400,NaN,NaN,0.0886,NaN,NaN,0.0101
,,1403.125,NaN,NaN,0.0575,NaN,NaN,0.0065
,,1406.25,NaN,NaN,0.1102,NaN,NaN,0.0125
,,1409.375,NaN,0,0.1653,NaN,0,0.0187
,,1412.5,NaN,0.0431,0.0766,NaN,0.0049,0.0086
,,1415.625,NaN,0.0311,0.1317,NaN,0.0035,0.0148
,,1418.75,NaN,0.0695,0.0982,NaN,0.0078,0.011
,,1421.875,NaN,0.0503,0.1844,NaN,0.0056,0.0206
,,1425,NaN,0.0263,NaN,NaN,0.0029,NaN
,,1428.125,NaN,0.0144,NaN,NaN,0.0016,NaN
,,1431.25,0,0.0335,NaN,0,0.0037,NaN
,,1434.375,0.0479,0.0431,NaN,0.0053,0.0048,NaN
,,1437.5,0.0503,0.0144,NaN,0.0056,0.0016,NaN
,,1440.625,0.0335,0.0192,NaN,0.0037,0.0021,NaN
,,1443.75,0.0958,0.0742,NaN,0.0106,0.0082,NaN
,,1446.875,0.0503,NaN,NaN,0.0055,NaN,NaN
,,1450,0.0311,NaN,NaN,0.0034,NaN,NaN
,,1453.125,0.0168,NaN,NaN,0.0018,NaN,NaN
,,1456.25,0.091,NaN,NaN,0.0099,NaN,NaN
,,1459.375,0.1102,NaN,NaN,0.012,NaN,NaN
,,1462.5,0.0144,NaN,NaN,0.0016,NaN,NaN
,,1465.625,0.0168,NaN,NaN,0.0018,NaN,NaN
,,1468.75,0.0503,NaN,NaN,0.0055,NaN,NaN
,,1471.875,0.0263,NaN,NaN,0.0028,NaN,NaN
,,1475,0.012,NaN,NaN,0.0013,NaN,NaN
,,1478.125,0.0599,NaN,NaN,0.0064,NaN,NaN
,,1481.25,0.0527,0,NaN,0.0057,0,NaN
,,1484.375,0.012,0.0431,NaN,0.0013,0.0046,NaN
,,1487.5,0.024,0.0359,NaN,0.0026,0.0038,NaN
,,1490.625,0.0359,0.0048,NaN,0.0038,0.0005,NaN
,,1493.75,0.0192,0.0359,NaN,0.002,0.0038,NaN
,,1496.875,0.0072,0.0263,0.0311,0.0008,0.0028,0.0033
,,1500,0.0287,0.0263,0.0623,0.003,0.0028,0.0066
,,1503.125,NaN,0.0287,0.0479,NaN,0.003,0.0051
,,1506.25,NaN,0.0144,0,NaN,0.0015,0
,,1509.375,NaN,0.0287,0.0263,NaN,0.003,0.0028
,,1512.5,NaN,0.0144,0.0335,NaN,0.0015,0.0035
,,1515.625,NaN,0.0192,0.0383,NaN,0.002,0.004
,,1518.75,NaN,NaN,0.0359,NaN,NaN,0.0038
,,1521.875,NaN,NaN,0.0479,NaN,NaN,0.005
,,1525,NaN,NaN,0.0431,NaN,NaN,0.0045
,,1528.125,NaN,NaN,0.0407,NaN,NaN,0.0042
,,1531.25,NaN,NaN,0.0311,NaN,NaN,0.0032
,,1534.375,NaN,NaN,0.0431,NaN,NaN,0.0045
,,1537.5,NaN,NaN,0.0311,NaN,NaN,0.0032
,,1540.625,NaN,NaN,0.024,NaN,NaN,0.0025
,,1543.75,NaN,NaN,0.0072,NaN,NaN,0.0007
,,1546.875,NaN,NaN,0.0383,NaN,NaN,0.0039
,,1550,NaN,NaN,0.0311,NaN,NaN,0.0032
,,1553.125,NaN,0,0.0311,NaN,0,0.0032
,,1556.25,NaN,0.0192,0.0144,NaN,0.002,0.0015
,,1559.375,NaN,0.024,0.0407,NaN,0.0024,0.0042
,,1562.5,NaN,0.0168,0.0359,NaN,0.0017,0.0037
,,1565.625,NaN,0.0144,0.0335,NaN,0.0015,0.0034
,,1568.75,NaN,0.0168,0.0168,NaN,0.0017,0.0017
,,1571.875,NaN,0.024,0.0359,NaN,0.0024,0.0036
,,1575,NaN,0.0263,0.0335,NaN,0.0027,0.0034
,,1578.125,NaN,0.0216,0.0287,NaN,0.0022,0.0029
,,1581.25,NaN,0.0168,0.0216,NaN,0.0017,0.0022
,,1584.375,NaN,0.0192,0.0311,NaN,0.0019,0.0031
,,1587.5,NaN,0.0192,0.0383,NaN,0.0019,0.0038
,,1590.625,NaN,NaN,0.0335,NaN,NaN,0.0034
,,1593.75,NaN,NaN,0.0216,NaN,NaN,0.0022
,,1596.875,NaN,NaN,0.0431,NaN,NaN,0.0043
,,1600,NaN,NaN,0,NaN,NaN,0
454822000005,2022-05-07T10:17:10.000Z,0,0.4263,4.0788,9.0653,Infinity,Infinity,Infinity
,,3.125,0.5604,0.2491,0.2108,28.5409,12.6866,10.736
,,6.25,0.1389,0.0575,0.0431,3.5371,1.4642,1.0975
,,9.375,0.4119,0.2179,0.2682,6.9926,3.6992,4.5531
,,12.5,0.0814,0.2251,0.0958,1.0364,2.8661,1.2198
,,15.625,0.7856,0.3521,0.3209,8.0021,3.5865,3.2687
,,18.75,0.2515,0.1413,0.0479,2.1348,1.1994,0.4066
,,21.875,0.3617,0.273,NaN,2.6316,1.9863,NaN
,,25,0.0958,0.2323,NaN,0.6099,1.4789,NaN
,,28.125,1.2167,0.6443,NaN,6.8851,3.646,NaN
,,31.25,0.3018,0.2946,NaN,1.5371,1.5004,NaN
,,34.375,0.3593,0.2874,NaN,1.6635,1.3307,NaN
,,37.5,0.194,0.4622,NaN,0.8234,1.9616,NaN
,,40.625,3.868,1.7149,NaN,15.1535,6.7184,NaN
,,43.75,1.0969,NaN,NaN,3.9903,NaN,NaN
,,46.875,0.7928,NaN,NaN,2.6918,NaN,NaN
,,50,0.6467,NaN,NaN,2.0585,NaN,NaN
,,53.125,3.0393,NaN,NaN,9.1053,NaN,NaN
