mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000009,2022-05-11T03:12:43.000Z,0,0.1461,0.4215,9.9658,Infinity,Infinity,Infinity
,,0.78125,0.0551,0.0671,0.0479,11.2249,13.6695,9.7581
,,1.5625,0.0072,0,0.024,0.7334,0,2.4446
,,2.34375,0.0599,0.0695,0.0335,4.0676,4.7195,2.2749
,,3.125,0.0623,0.1102,0.0479,3.1729,5.6124,2.4395
,,3.90625,0.0551,0.0671,0.0503,2.245,2.7339,2.0494
,,4.6875,0.012,0.0048,0.0263,0.4074,0.163,0.893
,,5.46875,0.0551,0.0695,0.0479,1.6036,2.0226,1.394
,,6.25,0.0551,0.1054,0.0479,1.4031,2.684,1.2198
,,7.03125,0.0479,0.0814,0.0503,1.0842,1.8425,1.1386
,,7.8125,0.0072,0.0168,0.0575,0.1467,0.3422,1.1714
,,8.59375,0.0503,0.0886,0.0814,0.9315,1.6409,1.5075
,,9.375,0.0623,0.1102,0.0144,1.0576,1.8708,0.2445
,,10.15625,0.0575,0.0862,0.0263,0.9011,1.3508,0.4121
,,10.9375,0.0072,0.012,0.0072,0.1048,0.1746,0.1048
,,11.71875,0.0671,0.1006,0.0335,0.9113,1.3663,0.455
,,12.5,0.0647,0.1078,0.0287,0.8238,1.3726,0.3654
,,13.28125,0.0671,0.0862,0.0431,0.8041,1.033,0.5165
,,14.0625,0,0.0216,0.0168,0,0.2445,0.1901
,,14.84375,0.0599,0.0862,0.024,0.6422,0.9242,0.2573
,,15.625,0.0575,0.115,0.0383,0.5857,1.1714,0.3901
,,16.40625,0.0623,0.1677,0.0192,0.6044,1.6268,0.1863
,,17.1875,0.0048,0.024,0,0.0444,0.2222,0
,,17.96875,0.0551,0.1006,0.0168,0.488,0.891,0.1488
,,18.75,0.0527,0.0862,0.0263,0.4473,0.7317,0.2232
,,19.53125,0.0742,0.1509,0.0551,0.6046,1.2296,0.449
,,20.3125,0.024,NaN,0.0359,0.188,NaN,0.2813
,,21.09375,0.0575,NaN,0.0311,0.4338,NaN,0.2347
,,21.875,0.0766,NaN,0.0359,0.5573,NaN,0.2612
,,22.65625,0.0814,NaN,0.0383,0.5718,NaN,0.269
,,23.4375,0.0287,NaN,0.0192,0.1949,NaN,0.1304
,,24.21875,0.0886,NaN,0.0359,0.5822,NaN,0.2359
,,25,0.0695,NaN,0.0503,0.4425,NaN,0.3202
,,25.78125,0.0982,NaN,0.0623,0.6062,NaN,0.3846
,,26.5625,0.0072,NaN,0.0168,0.0431,NaN,0.1007
,,27.34375,0.1389,NaN,0.0359,0.8085,NaN,0.209
,,28.125,0.0431,NaN,0.0263,0.2439,NaN,0.1488
,,28.90625,0.1365,0,0.091,0.7516,0,0.501
,,29.6875,0.0527,0.1198,0.0263,0.2825,0.6422,0.141
,,30.46875,0.1509,0.3425,0.0335,0.7882,1.7891,0.175
,,31.25,0.1509,0.2754,0.0503,0.7685,1.4026,0.2562
,,32.03125,0.1389,0.2084,0.1006,0.6902,1.0355,0.4999
,,32.8125,0.0551,0.0359,0.0407,0.2673,0.1741,0.1974
,,33.59375,0.0527,0.0575,0.0287,0.2497,0.2724,0.136
,,34.375,0.1269,0.2682,0.0623,0.5875,1.2418,0.2884
,,35.15625,0.1796,0.2587,0.1293,0.8131,1.1712,0.5854
,,35.9375,0.0359,0.0766,0.0263,0.159,0.3392,0.1165
,,36.71875,0.0383,0.0647,0.0216,0.166,0.2804,0.0936
,,37.5,0.1868,0.3593,0.103,0.7928,1.5249,0.4371
,,38.28125,0.206,0.3233,0.1509,0.8564,1.3441,0.6274
,,39.0625,0.1413,0.1796,0.0527,0.5757,0.7318,0.2147
,,39.84375,0.1389,0.1557,0.0144,0.5548,0.6219,0.0575
,,40.625,0.3401,0.5676,0.1245,1.3324,2.2237,0.4877
,,41.40625,0.479,0.7449,0.273,1.8412,2.8632,1.0493
,,42.1875,0.079,0.1174,0.0742,0.298,0.4429,0.2799
,,42.96875,0.1533,0.1605,0.0695,0.5678,0.5945,0.2574
,,43.75,0.9389,1.6238,0.3952,3.4156,5.9071,1.4377
,,44.53125,1.9352,2.9244,0.9604,6.9164,10.4518,3.4325
