mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000003,2022-05-07T08:51:18.000Z,0,0.1964,10.0856,1.5879,Infinity,Infinity,Infinity
,,140.625,0.0934,0.091,NaN,0.1057,0.103,NaN
,,142.1875,0.0192,0.2251,NaN,0.0215,0.252,NaN
,,143.75,0.0192,0.1126,NaN,0.0213,0.1247,NaN
,,145.3125,0.1629,0.3569,NaN,0.1784,0.3909,NaN
,,146.875,0.1413,0.2922,NaN,0.1531,0.3166,NaN
,,148.4375,0.0814,0.2203,NaN,0.0873,0.2362,NaN
,,150,0.1245,0.1269,NaN,0.1321,0.1346,NaN
,,151.5625,0.0455,0.1269,NaN,0.0478,0.1333,NaN
,,153.125,0.1892,0.0958,NaN,0.1967,0.0996,NaN
,,154.6875,0.1868,0.3042,NaN,0.1922,0.313,NaN
,,156.25,0.0575,0.0287,NaN,0.0586,0.0292,NaN
,,157.8125,0.0527,0.012,NaN,0.0531,0.0121,NaN
,,159.375,NaN,0.0263,NaN,NaN,0.0263,NaN
,,160.9375,NaN,0.0168,NaN,NaN,0.0166,NaN
,,162.5,NaN,0,NaN,NaN,0,NaN
,,164.0625,NaN,0.0383,NaN,NaN,0.0372,NaN
,,165.625,NaN,0.0311,NaN,NaN,0.0299,NaN
,,167.1875,NaN,0.012,NaN,NaN,0.0114,NaN
,,168.75,NaN,0.012,NaN,NaN,0.0113,NaN
,,170.3125,NaN,0.0431,NaN,NaN,0.0403,NaN
,,171.875,NaN,0.0359,NaN,NaN,0.0332,NaN
,,173.4375,NaN,0.0719,0.0263,NaN,0.066,0.0241
,,175,NaN,0.024,0.0072,NaN,0.0218,0.0065
,,176.5625,0,0.0623,0.0263,0,0.0562,0.0237
,,178.125,0.103,0.0623,0.0359,0.092,0.0557,0.0321
,,179.6875,0.2227,0.182,0.0383,0.1973,0.1612,0.0339
,,181.25,0.0455,0.0479,0,0.04,0.0421,0
,,182.8125,0.0623,0.0359,0.0048,0.0542,0.0313,0.0042
,,184.375,0.0287,0.0192,0.0359,0.0248,0.0166,0.031
,,185.9375,0.0216,0.0263,0.0048,0.0185,0.0225,0.0041
,,187.5,0.0431,0.0192,0.0144,0.0366,0.0163,0.0122
,,189.0625,0.0335,0.0168,0.012,0.0282,0.0141,0.0101
,,190.625,0.0216,0.0072,0.024,0.018,0.006,0.02
,,192.1875,0.0383,0.0551,0.024,0.0317,0.0456,0.0199
,,193.75,0.0144,0.0072,0.0144,0.0118,0.0059,0.0118
,,195.3125,0,0.0168,0.0048,0,0.0137,0.0039
,,196.875,0.0527,0.0048,0.0335,0.0426,0.0039,0.0271
,,198.4375,0.0072,0.0383,0.0144,0.0058,0.0307,0.0115
,,200,0.0335,0.0695,0.012,0.0267,0.0553,0.0095
,,201.5625,0.0287,NaN,0.0168,0.0227,NaN,0.0133
,,203.125,0.0623,NaN,0.0359,0.0488,NaN,0.0281
,,204.6875,0.0359,NaN,0.0455,0.0279,NaN,0.0354
,,206.25,0.0407,NaN,0.0359,0.0314,NaN,0.0277
,,207.8125,0.0719,NaN,0.0431,0.0551,NaN,0.033
,,209.375,0.0527,NaN,0.0192,0.0401,NaN,0.0146
,,210.9375,0.0168,NaN,0.0144,0.0127,NaN,0.0109
,,212.5,0.0431,NaN,0.0335,0.0323,NaN,0.0251
,,214.0625,0.0048,NaN,0.0287,0.0036,NaN,0.0213
,,215.625,0.0407,NaN,0.012,0.03,NaN,0.0089
,,217.1875,0,NaN,0.0144,0,NaN,0.0106
,,218.75,0.0742,NaN,0.012,0.054,NaN,0.0087
,,220.3125,0.0216,0.0455,0,0.0156,0.0329,0
,,221.875,0.0168,0.0072,0,0.0121,0.0052,0
,,223.4375,0.012,0.0407,0.0144,0.0085,0.029,0.0103
,,225,0.024,0.0407,0.012,0.017,0.0288,0.0085
,,226.5625,0.0335,0.0551,NaN,0.0235,0.0387,NaN
,,228.125,0.0263,0.0359,NaN,0.0183,0.025,NaN
,,229.6875,0.0479,0.0263,NaN,0.0332,0.0182,NaN
,,231.25,NaN,0.0168,NaN,NaN,0.0116,NaN
,,232.8125,NaN,0.0144,NaN,NaN,0.0098,NaN
,,234.375,NaN,0,NaN,NaN,0,NaN
,,235.9375,NaN,0.0168,NaN,NaN,0.0113,NaN
,,237.5,NaN,0.0311,NaN,NaN,0.0208,NaN
,,239.0625,NaN,0.0431,NaN,NaN,0.0287,NaN
,,240.625,NaN,0.0263,NaN,NaN,0.0174,NaN
,,242.1875,NaN,0.0551,NaN,NaN,0.0362,NaN
,,243.75,NaN,0.0263,NaN,NaN,0.0172,NaN
,,245.3125,NaN,0.0192,0.0168,NaN,0.0125,0.0109
,,246.875,NaN,0.0192,0.0287,NaN,0.0124,0.0185
,,248.4375,NaN,0.0263,0.024,NaN,0.0168,0.0154
,,250,NaN,0.012,0.0048,NaN,0.0076,0.0031
,,251.5625,NaN,0.0048,0.0144,NaN,0.003,0.0091
,,253.125,NaN,0,0.0287,NaN,0,0.018
,,254.6875,NaN,0.024,0.0359,NaN,0.015,0.0224
,,256.25,NaN,0.0144,0.0144,NaN,0.0089,0.0089
,,257.8125,NaN,0.0168,0.0072,NaN,0.0104,0.0044
,,259.375,NaN,0.0048,0.0192,NaN,0.0029,0.0118
,,260.9375,NaN,0.0287,0.0479,NaN,0.0175,0.0292
,,262.5,NaN,0.0287,0.0144,NaN,0.0174,0.0087
,,264.0625,NaN,0.012,0.0216,NaN,0.0072,0.013
,,265.625,NaN,0,0.0407,NaN,0,0.0244
,,267.1875,NaN,0.0168,0.0575,NaN,0.01,0.0343
,,268.75,NaN,0.0072,0.0216,NaN,0.0043,0.0128
,,270.3125,NaN,0.0072,0.0359,NaN,0.0042,0.0211
,,271.875,NaN,0.0335,0.0958,NaN,0.0196,0.0561
,,273.4375,NaN,0.0383,0.0742,NaN,0.0223,0.0432
,,275,NaN,0.012,0.0359,NaN,0.0069,0.0208
,,276.5625,NaN,0.0048,0.0311,NaN,0.0028,0.0179
,,278.125,NaN,0.0407,0.0575,NaN,0.0233,0.0329
,,279.6875,NaN,0.0359,0.0623,NaN,0.0204,0.0355
,,281.25,NaN,0.012,0.0431,NaN,0.0068,0.0244
,,282.8125,NaN,0.0192,0.0335,NaN,0.0108,0.0189
,,284.375,0,0,0.0216,0,0,0.0121
,,285.9375,0.0575,0.0599,0.0838,0.032,0.0333,0.0466
,,287.5,0.024,0.0216,0.0527,0.0133,0.012,0.0292
,,289.0625,0.0168,0.024,0.0527,0.0092,0.0132,0.029
,,290.625,0.0144,0.0335,0.0479,0.0079,0.0183,0.0262
,,292.1875,0.0527,0.091,0.1916,0.0287,0.0496,0.1044
,,293.75,0.0072,0.0048,0.0551,0.0039,0.0026,0.0299
,,295.3125,0.0359,0.0479,0.1509,0.0193,0.0258,0.0813
,,296.875,0.0168,0.0862,0.2299,0.009,0.0462,0.1232
,,298.4375,0.0647,0.4191,1.0897,0.0345,0.2235,0.5811
,,300,0.0503,0.0958,0.2371,0.0267,0.0508,0.1258
,,301.5625,0,0.0599,0.1581,0,0.0316,0.0834
,,303.125,0.0144,0.0647,0.1772,0.0076,0.034,0.093
,,304.6875,0.0742,0.091,0.2347,0.0388,0.0475,0.1226
,,306.25,0.0072,0,0.0168,0.0037,0,0.0087
,,307.8125,0.0192,0.0144,0.0431,0.0099,0.0074,0.0223
,,309.375,0.0479,0.0263,0.1078,0.0246,0.0135,0.0555
,,310.9375,0.0359,0.0263,0.115,0.0184,0.0135,0.0589
,,312.5,0,0.0192,0.0623,0,0.0098,0.0317
,,314.0625,0.012,0,0.0335,0.0061,0,0.017
,,315.625,0.0407,0.0431,0.0527,0.0205,0.0217,0.0266
,,317.1875,0.0383,0.0359,NaN,0.0192,0.018,NaN
,,318.75,0.0359,0.0527,NaN,0.0179,0.0263,NaN
,,320.3125,0.0192,0.0144,NaN,0.0095,0.0072,NaN
,,321.875,0.0407,0.0048,NaN,0.0201,0.0024,NaN
,,323.4375,0.0263,0.0072,NaN,0.0129,0.0035,NaN
,,325,0.0144,0.0263,NaN,0.0071,0.0129,NaN
,,326.5625,0.024,0.0263,NaN,0.0117,0.0128,NaN
,,328.125,0.0144,0.012,NaN,0.007,0.0058,NaN
,,329.6875,0.024,0.024,NaN,0.0116,0.0116,NaN
,,331.25,0.0072,0.0695,NaN,0.0035,0.0334,NaN
,,332.8125,0.0144,0.012,NaN,0.0069,0.0057,NaN
,,334.375,0.0527,0.0048,0,0.0251,0.0023,0
,,335.9375,0.0144,0.0192,0.0671,0.0068,0.0091,0.0318
,,337.5,0.0144,0.0311,0.0719,0.0068,0.0147,0.0339
,,339.0625,0.0287,0.0359,0.0719,0.0135,0.0169,0.0337
,,340.625,0.0503,0.0335,0.0623,0.0235,0.0157,0.0291
,,342.1875,0.0216,0.0144,0.0407,0.01,0.0067,0.0189
,,343.75,0.0144,0.0072,0,0.0067,0.0033,0
,,345.3125,0,0.0216,0,0,0.01,0
,,346.875,0.0383,0.0431,0,0.0176,0.0198,0
,,348.4375,0.024,0.0048,0.0479,0.011,0.0022,0.0219
,,350,0.0431,0.0168,0.0287,0.0196,0.0076,0.0131
,,351.5625,0.024,0,0.0192,0.0109,0,0.0087
,,353.125,0.1485,0.0503,0.0192,0.0669,0.0227,0.0087
,,354.6875,0.0072,0.0144,0.0335,0.0032,0.0065,0.015
,,356.25,0.0144,0.0359,0.0144,0.0064,0.016,0.0064
,,357.8125,0.0599,0.0144,0.0144,0.0266,0.0064,0.0064
,,359.375,0.0814,0.0192,0.1293,0.036,0.0085,0.0573
,,360.9375,0.0671,0.0216,0.0168,0.0296,0.0095,0.0074
,,362.5,0.0766,0.0263,0.0335,0.0336,0.0115,0.0147
,,364.0625,0.0359,0.0072,0.0144,0.0157,0.0031,0.0063
,,365.625,0.0599,0.0335,0.0695,0.0261,0.0146,0.0303
,,367.1875,0.0383,0.0168,0.0479,0.0166,0.0073,0.0208
,,368.75,0.0527,0.0359,0.0263,0.0227,0.0155,0.0114
,,370.3125,0.0431,0.0575,NaN,0.0185,0.0247,NaN
,,371.875,0.0551,0.0359,NaN,0.0236,0.0154,NaN
,,373.4375,0.0263,0.0479,NaN,0.0112,0.0204,NaN
,,375,0.024,0.0335,NaN,0.0102,0.0142,NaN
,,376.5625,0.0383,0.0311,NaN,0.0162,0.0131,NaN
,,378.125,0.0814,0.0862,NaN,0.0343,0.0363,NaN
,,379.6875,0.1174,0.0407,NaN,0.0492,0.0171,NaN
,,381.25,0.024,0.0479,NaN,0.01,0.02,NaN
,,382.8125,0.0551,0.0192,NaN,0.0229,0.008,NaN
,,384.375,0.1317,0.0647,NaN,0.0545,0.0268,NaN
,,385.9375,0.0766,0.0479,NaN,0.0316,0.0198,NaN
,,387.5,0.0431,0.0527,NaN,0.0177,0.0216,NaN
,,389.0625,0.0144,0.0311,0.0168,0.0059,0.0127,0.0069
,,390.625,0.0431,0.0359,0.024,0.0176,0.0146,0.0098
,,392.1875,0.0359,0.0263,0.0431,0.0146,0.0107,0.0175
,,393.75,0.0335,0.0144,0.0048,0.0135,0.0058,0.0019
,,395.3125,0.0359,0.0216,0,0.0145,0.0087,0
,,396.875,0.0335,0.0407,0,0.0134,0.0163,0
,,398.4375,0.0359,0.0144,0.0072,0.0143,0.0058,0.0029
,,400,0.0695,0.012,0.0144,0.0277,0.0048,0.0057
,,401.5625,0.0766,0.0144,0.0359,0.0304,0.0057,0.0142
,,403.125,0.091,0.024,0.0216,0.0359,0.0095,0.0085
,,404.6875,0.091,0.0072,0.0335,0.0358,0.0028,0.0132
,,406.25,0.0192,0.012,0.0072,0.0075,0.0047,0.0028
,,407.8125,0.0263,0.0144,0.0311,0.0103,0.0056,0.0121
,,409.375,0.1269,0.0144,0.0431,0.0493,0.0056,0.0168
,,410.9375,0.0335,0,0.0144,0.013,0,0.0056
,,412.5,0.0575,0.024,0.0287,0.0222,0.0093,0.0111
,,414.0625,0.0551,0.0144,0.0335,0.0212,0.0055,0.0129
,,415.625,0.0359,0.012,0,0.0137,0.0046,0
,,417.1875,0.0599,NaN,0.024,0.0229,NaN,0.0092
,,418.75,0.0742,NaN,0.0431,0.0282,NaN,0.0164
,,420.3125,0.0862,NaN,0.0431,0.0326,NaN,0.0163
,,421.875,0.0862,NaN,0.024,0.0325,NaN,0.0091
,,423.4375,0,NaN,0.0072,0,NaN,0.0027
,,425,0.0144,NaN,0.0144,0.0054,NaN,0.0054
,,426.5625,0.0383,NaN,0.024,0.0143,NaN,0.009
,,428.125,NaN,NaN,0.0072,NaN,NaN,0.0027
,,429.6875,NaN,NaN,0.0144,NaN,NaN,0.0053
,,431.25,NaN,NaN,0,NaN,NaN,0
,,432.8125,NaN,NaN,0.0287,NaN,NaN,0.0106
,,434.375,NaN,NaN,0.0144,NaN,NaN,0.0053
,,435.9375,NaN,0.0072,0.0144,NaN,0.0026,0.0053
,,437.5,NaN,0.0144,0.0168,NaN,0.0052,0.0061
,,439.0625,NaN,0.0168,0.0168,NaN,0.0061,0.0061
,,440.625,NaN,0.0192,0.0263,NaN,0.0069,0.0095
,,442.1875,NaN,0.0168,NaN,NaN,0.006,NaN
,,443.75,NaN,0.0048,NaN,NaN,0.0017,NaN
,,445.3125,NaN,0.0263,NaN,NaN,0.0094,NaN
,,446.875,0.0431,0,NaN,0.0154,0,NaN
,,448.4375,0.115,0.0359,NaN,0.0408,0.0127,NaN
,,450,0.2563,0.0623,NaN,0.0906,0.022,NaN
,,451.5625,0.1437,0.0287,NaN,0.0506,0.0101,NaN
,,453.125,0.0886,NaN,NaN,0.0311,NaN,NaN
,,454.6875,0.1677,NaN,NaN,0.0587,NaN,NaN
,,456.25,0.115,NaN,NaN,0.0401,NaN,NaN
,,457.8125,0.0527,NaN,NaN,0.0183,NaN,NaN
,,459.375,0.2036,NaN,NaN,0.0705,NaN,NaN
,,460.9375,0.0144,NaN,NaN,0.005,NaN,NaN
,,462.5,0.1126,NaN,NaN,0.0387,NaN,NaN
,,464.0625,0,NaN,NaN,0,NaN,NaN
,,465.625,0.1221,NaN,NaN,0.0417,NaN,NaN
,,467.1875,0.2419,NaN,NaN,0.0824,NaN,NaN
,,468.75,0.1078,NaN,NaN,0.0366,NaN,NaN
