mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-04-28T03:10:06.000Z,0,0.2323,NaN,9.9035,Infinity,NaN,Infinity
,,278.125,0.1006,0.0359,0.2491,0.0576,0.0205,0.1425
,,281.25,0.2898,0.0551,0.1078,0.164,0.0312,0.061
,,284.375,0.2778,0.2156,0.2563,0.1555,0.1207,0.1434
,,287.5,0.2179,0.0982,0.3161,0.1206,0.0544,0.175
,,290.625,0.0527,0.0647,0.2443,0.0289,0.0354,0.1338
,,293.75,0.1126,0.0383,0.1413,0.061,0.0208,0.0766
,,296.875,0.2635,0,0.0958,0.1413,0,0.0514
,,300,0.309,0.0742,0.091,0.1639,0.0394,0.0483
,,303.125,0.0599,0.0862,0.1245,0.0315,0.0453,0.0654
,,306.25,0.1485,0.0335,0.091,0.0772,0.0174,0.0473
,,309.375,0.2275,0.285,0.2156,0.117,0.1466,0.1109
,,312.5,0.1006,0.0647,0.2635,0.0512,0.033,0.1342
,,315.625,0.1796,0.273,0.0551,0.0906,0.1377,0.0278
,,318.75,0.1868,0.1581,0.2012,0.0933,0.0789,0.1005
,,321.875,0.2299,0.0383,0.024,0.1137,0.0189,0.0119
,,325,0.0575,0.0359,0.2347,0.0282,0.0176,0.1149
,,328.125,0.2635,0.1054,0.091,0.1278,0.0511,0.0441
,,331.25,0.1221,0.0958,0.1102,0.0587,0.046,0.0529
,,334.375,0.1461,0.0383,0.0551,0.0695,0.0182,0.0262
,,337.5,0.1317,0.0431,0.1389,0.0621,0.0203,0.0655
,,340.625,0.1006,0.0695,0.1269,0.047,0.0325,0.0593
,,343.75,0.0862,0.0335,0.1629,0.0399,0.0155,0.0754
,,346.875,0.1293,0.0934,0.0359,0.0593,0.0429,0.0165
,,350,0.1677,0.0982,0.1581,0.0763,0.0447,0.0719
,,353.125,0.2203,0.1174,0.1365,0.0993,0.0529,0.0615
,,356.25,0.182,0.297,0.1724,0.0813,0.1327,0.077
,,359.375,0.1964,0.0719,0.1341,0.087,0.0318,0.0594
,,362.5,0.1557,0.1126,0.1054,0.0684,0.0494,0.0463
,,365.625,0.3497,0.1581,0.3593,0.1522,0.0688,0.1564
,,368.75,0.0838,0.2371,0.3449,0.0362,0.1023,0.1489
,,371.875,0.1269,0.0814,0.0719,0.0543,0.0348,0.0308
,,375,0.194,0.0742,0.206,0.0823,0.0315,0.0874
,,378.125,0.1293,0.1988,0.3569,0.0544,0.0837,0.1502
,,381.25,0.1677,0.1006,0.1006,0.07,0.042,0.042
,,384.375,0.1341,0.0838,0.0982,0.0555,0.0347,0.0407
,,387.5,0.1772,0.0719,0.115,0.0728,0.0295,0.0472
,,390.625,0.0958,0.0814,0.0192,0.039,0.0332,0.0078
,,393.75,0.1461,0.1437,0.0575,0.0591,0.0581,0.0232
,,396.875,0.1581,0.1581,0.115,0.0634,0.0634,0.0461
,,400,0.1796,0.1006,0.1988,0.0715,0.04,0.0791
,,403.125,0.1533,0.1102,0.0814,0.0605,0.0435,0.0321
,,406.25,0.1221,0.0623,0.1174,0.0478,0.0244,0.046
,,409.375,0.1413,0.0862,0.0958,0.0549,0.0335,0.0372
,,412.5,0.0862,0.1748,0.2491,0.0333,0.0674,0.0961
,,415.625,0.0503,0.0958,0.0599,0.0193,0.0367,0.0229
,,418.75,0.1437,0.1796,NaN,0.0546,0.0683,NaN
,,421.875,0.1437,0.1054,NaN,0.0542,0.0398,NaN
,,425,0.0671,0.1102,NaN,0.0251,0.0413,NaN
,,428.125,0.0455,0.0431,NaN,0.0169,0.016,NaN
,,431.25,0.1054,0.0431,NaN,0.0389,0.0159,NaN
,,434.375,0.0503,0.0168,NaN,0.0184,0.0062,NaN
,,437.5,0.1461,0.0527,NaN,0.0531,0.0192,NaN
,,440.625,0.0934,0.1557,NaN,0.0337,0.0562,NaN
,,443.75,0.1796,0.0886,NaN,0.0644,0.0318,NaN
,,446.875,0.1988,0.1437,NaN,0.0708,0.0512,NaN
,,450,0.1629,0.0862,NaN,0.0576,0.0305,NaN
,,453.125,0.1581,0.2299,0,0.0555,0.0807,0
,,456.25,0.0431,0.1988,0.0551,0.015,0.0693,0.0192
,,459.375,0.1317,0.1293,0.0527,0.0456,0.0448,0.0183
,,462.5,0.1293,0.182,0.0048,0.0445,0.0626,0.0017
,,465.625,0.0503,0.2299,0.0982,0.0172,0.0786,0.0336
,,468.75,0.103,0.0814,0.0982,0.035,0.0276,0.0333
,,471.875,0.1198,0.0958,0.012,0.0404,0.0323,0.004
,,475,0.0958,0.0814,0.1174,0.0321,0.0273,0.0393
,,478.125,0.0072,0.2012,0.0359,0.0024,0.067,0.012
,,481.25,0.0575,0.0934,0.1126,0.019,0.0309,0.0372
,,484.375,0.0862,0.1269,0.0934,0.0283,0.0417,0.0307
,,487.5,0.0814,0.2994,0.2132,0.0266,0.0977,0.0696
,,490.625,0.0431,0.0695,0.0982,0.014,0.0225,0.0319
,,493.75,0.0623,0.2036,0.103,0.0201,0.0656,0.0332
,,496.875,0.0335,0.0287,0.0072,0.0107,0.0092,0.0023
,,500,0.0719,0.2539,0.0359,0.0229,0.0808,0.0114
,,503.125,0.2659,0.1724,0.0599,0.0841,0.0545,0.0189
,,506.25,0.0527,0.103,0.0982,0.0166,0.0324,0.0309
,,509.375,0.0934,0.115,0.103,0.0292,0.0359,0.0322
,,512.5,0.1198,0.1581,0.1317,0.0372,0.0491,0.0409
,,515.625,0.1653,0.2587,0.1198,0.051,0.0799,0.037
,,518.75,0.024,0.206,0.1892,0.0074,0.0632,0.058
,,521.875,0.2539,0.0335,0.1054,0.0774,0.0102,0.0321
,,525,0.024,0.2443,0.0814,0.0073,0.0741,0.0247
,,528.125,0.1341,0.2754,0.115,0.0404,0.083,0.0347
,,531.25,0.0287,0.0623,0.0671,0.0086,0.0187,0.0201
,,534.375,0.2299,0.3281,0.1006,0.0685,0.0977,0.03
,,537.5,0.1557,0.0431,0.1221,0.0461,0.0128,0.0362
,,540.625,0.0742,0.0287,0.0263,0.0218,0.0084,0.0077
,,543.75,0.0766,0.1533,0.0838,0.0224,0.0449,0.0245
,,546.875,0.0431,0.2874,0.0766,0.0125,0.0836,0.0223
,,550,0.1413,0.206,0.1006,0.0409,0.0596,0.0291
,,553.125,0.0168,0.0503,0.0982,0.0048,0.0145,0.0283
,,556.25,0.115,0.0311,0.0311,0.0329,0.0089,0.0089
,,559.375,0.1054,0.2084,0.0814,0.03,0.0593,0.0232
,,562.5,0.0072,0.1389,0.0407,0.002,0.0393,0.0115
,,565.625,0.0479,0.103,0.079,0.0135,0.029,0.0222
,,568.75,0.115,0.2371,0.0575,0.0322,0.0663,0.0161
,,571.875,0.1198,0.0287,0.0671,0.0333,0.008,0.0187
,,575,0.0359,0.2515,0.1293,0.0099,0.0696,0.0358
,,578.125,0.0814,0.0623,0.0287,0.0224,0.0172,0.0079
,,581.25,0.0287,0.2395,0.0695,0.0079,0.0656,0.019
,,584.375,0.194,0,0.115,0.0528,0,0.0313
,,587.5,0.0695,0.1317,0.0814,0.0188,0.0357,0.0221
,,590.625,0.0335,0.0814,0.0719,0.009,0.0219,0.0194
,,593.75,0.0527,0.0263,0.0287,0.0141,0.007,0.0077
,,596.875,0.0479,0.2179,0.0958,0.0128,0.0581,0.0255
,,600,0.0527,0.0623,0.182,0.014,0.0165,0.0483
,,603.125,0.0671,0.1772,0.0958,0.0177,0.0468,0.0253
,,606.25,0.0862,0.1078,0.0551,0.0226,0.0283,0.0145
,,609.375,0.1724,0.1221,0.1485,0.045,0.0319,0.0388
,,612.5,0.0599,0.1054,0.079,0.0156,0.0274,0.0205
,,615.625,0.0192,0.1221,0.024,0.005,0.0316,0.0062
,,618.75,0.0766,0.0958,0.0527,0.0197,0.0246,0.0136
,,621.875,0.1413,0.3066,0.1964,0.0362,0.0785,0.0503
,,625,0.0431,0.1605,0.1245,0.011,0.0409,0.0317
,,628.125,0.1916,0.1174,0.3401,0.0485,0.0297,0.0862
,,631.25,0.0407,0.1892,0.182,0.0103,0.0477,0.0459
,,634.375,0.1557,0.1413,0.3066,0.0391,0.0354,0.0769
,,637.5,0.2251,0.0982,0.467,0.0562,0.0245,0.1166
,,640.625,0.0934,0.103,0.1102,0.0232,0.0256,0.0274
,,643.75,0.1174,0.0647,0.2443,0.029,0.016,0.0604
,,646.875,0.1269,0.0072,0.2251,0.0312,0.0018,0.0554
,,650,0.182,0.1126,0.3353,0.0446,0.0276,0.0821
,,653.125,0.0766,0.0359,0.115,0.0187,0.0087,0.028
,,656.25,0.1317,0.0623,0.2108,0.0319,0.0151,0.0511
,,659.375,0.091,0.091,0.115,0.022,0.022,0.0278
,,662.5,0.1006,0.0168,0.1365,0.0242,0.004,0.0328
,,665.625,0.0934,0.024,0.0719,0.0223,0.0057,0.0172
,,668.75,0.0383,0.091,0.0671,0.0091,0.0217,0.016
,,671.875,0.0575,0.0216,0.079,0.0136,0.0051,0.0187
,,675,0.1174,0.0647,0.1509,0.0277,0.0153,0.0356
,,678.125,0.0623,0.0886,0.0934,0.0146,0.0208,0.0219
,,681.25,0.1748,0.0623,0.1844,0.0408,0.0146,0.0431
,,684.375,0.0407,0.0287,0.0455,0.0095,0.0067,0.0106
,,687.5,0.0359,0.0742,0.1724,0.0083,0.0172,0.0399
,,690.625,0.1221,0.1126,0.1198,0.0281,0.0259,0.0276
,,693.75,0.0814,0.1006,0.0958,0.0187,0.0231,0.022
,,696.875,0.0766,0.103,0.0695,0.0175,0.0235,0.0159
,,700,0.0958,0.1102,0.1964,0.0218,0.0251,0.0447
,,703.125,0.0144,0.0431,0.0671,0.0033,0.0098,0.0152
,,706.25,0.0527,0.2491,0.0383,0.0119,0.0561,0.0086
,,709.375,0.0671,0.0742,0.024,0.0151,0.0166,0.0054
,,712.5,0.079,0.0671,0.1317,0.0176,0.015,0.0294
,,715.625,0.0958,0.1437,0.0814,0.0213,0.032,0.0181
,,718.75,0.1772,0.0838,0.1629,0.0392,0.0186,0.0361
,,721.875,0.2802,0.079,0.4311,0.0618,0.0174,0.095
,,725,0.1677,0.0766,0.1964,0.0368,0.0168,0.0431
,,728.125,0.0958,0.1198,0.1844,0.0209,0.0262,0.0403
,,731.25,0.0982,0.3066,0.0335,0.0214,0.0667,0.0073
,,734.375,0.0359,0.2203,0.0982,0.0078,0.0477,0.0213
,,737.5,0.0503,0.115,0.0695,0.0109,0.0248,0.015
,,740.625,0.0599,0.0551,0.0431,0.0129,0.0118,0.0093
,,743.75,0.0527,0.0671,0.1174,0.0113,0.0144,0.0251
,,746.875,0.0527,0.1724,0.0335,0.0112,0.0367,0.0071
,,750,NaN,0.2491,0.103,NaN,0.0529,0.0219
,,753.125,NaN,0.0958,0.1126,NaN,0.0202,0.0238
,,756.25,NaN,0.091,0.0048,NaN,0.0192,0.001
,,759.375,NaN,0.17,0.1198,NaN,0.0356,0.0251
,,762.5,NaN,0.0647,0.0862,NaN,0.0135,0.018
