mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-04-28T03:10:06.000Z,0,0.2323,NaN,9.9035,Infinity,NaN,Infinity
,,490.625,0.1916,0.1389,0.115,0.0622,0.0451,0.0373
,,493.75,0.2275,0.1653,0.1988,0.0733,0.0533,0.0641
,,496.875,0.2251,0.376,0.1078,0.0721,0.1204,0.0345
,,500,0.309,0.3856,0.0671,0.0984,0.1227,0.0214
,,503.125,0.1221,0.1629,0.0407,0.0386,0.0515,0.0129
,,506.25,0.0216,0.1916,0.0838,0.0068,0.0602,0.0263
,,509.375,0.0766,0.3042,0.1174,0.0239,0.095,0.0367
,,512.5,0.17,0.2491,0.0623,0.0528,0.0774,0.0193
,,515.625,0.079,0.0719,0.0383,0.0244,0.0222,0.0118
,,518.75,0.2108,0.1677,0.1365,0.0647,0.0515,0.0419
,,521.875,0.0527,0.3329,0.0335,0.0161,0.1015,0.0102
,,525,0.0383,0.4958,0.0479,0.0116,0.1503,0.0145
,,528.125,0.0192,0.2443,0.1102,0.0058,0.0736,0.0332
,,531.25,0.1054,0.1269,0.1245,0.0316,0.038,0.0373
,,534.375,0.1796,0.182,0.1437,0.0535,0.0542,0.0428
,,537.5,0.1724,0.0575,0.0958,0.051,0.017,0.0284
,,540.625,0.1293,0.4287,0.0287,0.0381,0.1262,0.0084
,,543.75,0.079,0.1796,0.0838,0.0231,0.0526,0.0245
,,546.875,0.0383,0.1245,0.0958,0.0111,0.0362,0.0279
,,550,0.091,0.2227,0.0671,0.0263,0.0644,0.0194
,,553.125,0.0479,0.3018,0.0671,0.0138,0.0868,0.0193
,,556.25,0.0575,0.0766,0.024,0.0165,0.0219,0.0069
,,559.375,0.0862,0.1844,0.024,0.0245,0.0525,0.0068
,,562.5,0.0886,0.1772,0.0455,0.0251,0.0501,0.0129
,,565.625,0.0862,0.2706,0.0551,0.0243,0.0761,0.0155
,,568.75,0.1677,0.3281,0.0168,0.0469,0.0918,0.0047
,,571.875,0.0575,0.3473,0.1245,0.016,0.0967,0.0346
,,575,0.0742,0.1317,0.0766,0.0205,0.0365,0.0212
,,578.125,0.17,0.3928,0.1413,0.0468,0.1081,0.0389
,,581.25,0.206,0.4072,0.0216,0.0564,0.1115,0.0059
,,584.375,0.2179,0.1916,0.0814,0.0593,0.0522,0.0222
,,587.5,0.2299,0.2946,0.1293,0.0623,0.0798,0.035
,,590.625,0.1317,0.5868,0.103,0.0355,0.1581,0.0278
,,593.75,0.0263,0.0359,0.0431,0.007,0.0096,0.0116
,,596.875,0.1724,0.1245,0.1078,0.046,0.0332,0.0287
,,600,0.2012,0.4239,0.1341,0.0534,0.1124,0.0356
,,603.125,0.1485,0.2108,0.1772,0.0392,0.0556,0.0468
,,606.25,0.1245,0.2132,0.0742,0.0327,0.056,0.0195
,,609.375,0.0886,0.1221,0.1629,0.0231,0.0319,0.0425
,,612.5,0.1198,0.1389,0.0719,0.0311,0.0361,0.0187
,,615.625,0.0886,0.0719,0.1293,0.0229,0.0186,0.0334
,,618.75,0.0695,0.0958,0.1509,0.0179,0.0246,0.0388
,,621.875,0.1174,0.1317,0.3042,0.03,0.0337,0.0779
,,625,0.0599,0.1126,0.103,0.0153,0.0287,0.0262
,,628.125,0.0862,0.0072,0.1365,0.0218,0.0018,0.0346
,,631.25,0.1269,0.0719,0.1245,0.032,0.0181,0.0314
,,634.375,0.206,0.1413,0.2251,0.0517,0.0354,0.0565
,,637.5,0.1988,0.0144,0.0934,0.0496,0.0036,0.0233
,,640.625,0.0072,0.1748,0.1605,0.0018,0.0434,0.0399
,,643.75,0.3305,0.1605,0.6227,0.0817,0.0397,0.154
,,646.875,0.2203,0.1485,0.4311,0.0542,0.0365,0.1061
,,650,0.1317,0.2491,0.2563,0.0322,0.061,0.0628
,,653.125,0.1198,0.0311,0.1557,0.0292,0.0076,0.0379
,,656.25,0.2108,0.0647,0.2802,0.0511,0.0157,0.068
,,659.375,0.1293,0.1198,0.2826,0.0312,0.0289,0.0682
,,662.5,0.1557,0.0168,0.2227,0.0374,0.004,0.0535
,,665.625,0.1581,0.0192,0.2539,0.0378,0.0046,0.0607
,,668.75,0.206,0.1724,0.2946,0.049,0.041,0.0701
,,671.875,0.1341,0.0695,0.0862,0.0318,0.0165,0.0204
,,675,0.0623,0.0263,0.0168,0.0147,0.0062,0.004
,,678.125,NaN,0.0479,0.1461,NaN,0.0112,0.0343
,,681.25,NaN,0.091,0.0479,NaN,0.0213,0.0112
,,684.375,NaN,0.0623,0.1078,NaN,0.0145,0.0251
,,687.5,NaN,0.0431,0.0647,NaN,0.01,0.015
,,690.625,NaN,NaN,0.2132,NaN,NaN,0.0491
,,693.75,NaN,NaN,0.2587,NaN,NaN,0.0593
,,696.875,NaN,NaN,0.1054,NaN,NaN,0.0241
,,700,NaN,NaN,0.1653,NaN,NaN,0.0376
,,703.125,NaN,NaN,0.0192,NaN,NaN,0.0043
,,706.25,NaN,NaN,0.2443,NaN,NaN,0.0551
,,709.375,NaN,NaN,0.0359,NaN,NaN,0.0081
,,712.5,0,NaN,0.1772,0,NaN,0.0396
,,715.625,0.079,NaN,0.1916,0.0176,NaN,0.0426
,,718.75,0.024,NaN,0.0695,0.0053,NaN,0.0154
,,721.875,0.1772,NaN,0.2275,0.0391,NaN,0.0502
,,725,0.3161,NaN,0.2682,0.0694,NaN,0.0589
,,728.125,0.0527,0.1629,0.0886,0.0115,0.0356,0.0194
,,731.25,0.0742,0.0263,0.1006,0.0161,0.0057,0.0219
,,734.375,0.0383,0.0647,0.0263,0.0083,0.014,0.0057
,,737.5,0.182,0.1198,0.1509,0.0393,0.0259,0.0326
,,740.625,0.0886,0.2227,0.1126,0.019,0.0479,0.0242
,,743.75,0.0742,0.0623,0.0958,0.0159,0.0133,0.0205
,,746.875,0.0958,0.0886,0.0766,0.0204,0.0189,0.0163
,,750,0.1533,0.1006,0.0455,0.0325,0.0213,0.0097
,,753.125,0.0311,0.024,0.0168,0.0066,0.0051,0.0036
,,756.25,0.0671,0.0958,0.024,0.0141,0.0202,0.0051
,,759.375,0.0623,0.0048,0.079,0.0131,0.001,0.0166
,,762.5,0.1174,0.0431,0.0263,0.0245,0.009,0.0055
,,765.625,0.1269,0.1437,0.0742,0.0264,0.0299,0.0154
,,768.75,0.0431,0.0479,0.0551,0.0089,0.0099,0.0114
,,771.875,0.0287,0.1221,0.0479,0.0059,0.0252,0.0099
,,775,0.1724,0.012,0.0431,0.0354,0.0025,0.0089
,,778.125,0.0287,0.1437,0.091,0.0059,0.0294,0.0186
,,781.25,0.0335,0.0431,0.012,0.0068,0.0088,0.0024
,,784.375,0.0263,0.0431,0.0719,0.0053,0.0087,0.0146
,,787.5,0.0335,0.1126,0.0623,0.0068,0.0228,0.0126
,,790.625,0.0383,0.1629,0.0551,0.0077,0.0328,0.0111
,,793.75,0.0623,0.0814,0.091,0.0125,0.0163,0.0182
,,796.875,0.0599,0.0814,0.0695,0.012,0.0163,0.0139
,,800,0.0719,0.0982,0.0814,0.0143,0.0195,0.0162
,,803.125,0,0.0719,0.0886,0,0.0142,0.0176
,,806.25,0.0623,0.0862,0.0599,0.0123,0.017,0.0118
,,809.375,0.0144,0.0335,0.0263,0.0028,0.0066,0.0052
,,812.5,0.1605,0.0263,0.1221,0.0314,0.0052,0.0239
,,815.625,0.103,0.0431,0.0335,0.0201,0.0084,0.0065
,,818.75,0.0599,0.0407,0.0263,0.0116,0.0079,0.0051
,,821.875,0.0671,0.0671,0.0575,0.013,0.013,0.0111
,,825,0.0814,0.1054,0.103,0.0157,0.0203,0.0199
,,828.125,0.0359,0.1054,0.0192,0.0069,0.0203,0.0037
,,831.25,0.0599,0.0575,0.0814,0.0115,0.011,0.0156
,,834.375,0.0479,0.0766,0.0455,0.0091,0.0146,0.0087
,,837.5,0.0862,0.0862,0.0982,0.0164,0.0164,0.0187
,,840.625,0.0766,0.091,0.0527,0.0145,0.0172,0.01
,,843.75,0.0527,0.0719,0.0647,0.0099,0.0136,0.0122
,,846.875,0.0647,0.1413,0.1293,0.0122,0.0266,0.0243
,,850,0.1221,0.1461,0.0287,0.0229,0.0274,0.0054
,,853.125,0.0479,0.1461,0.1293,0.0089,0.0273,0.0241
,,856.25,0.0766,0.1054,0.103,0.0142,0.0196,0.0191
,,859.375,0.1485,0.1174,0.1437,0.0275,0.0217,0.0266
,,862.5,0.1126,0.079,0.1461,0.0208,0.0146,0.027
,,865.625,0.0144,0.0431,0.0359,0.0026,0.0079,0.0066
,,868.75,0.0575,0.0575,0.0623,0.0105,0.0105,0.0114
,,871.875,0.0431,0.0503,0.0551,0.0079,0.0092,0.0101
,,875,0.0216,0.079,0.0599,0.0039,0.0144,0.0109
,,878.125,0.0407,0.115,0.0072,0.0074,0.0208,0.0013
,,881.25,0.1269,0.0742,0.0766,0.0229,0.0134,0.0138
,,884.375,0.1293,0.0886,0.1054,0.0233,0.0159,0.019
,,887.5,0.103,0.0982,0.0814,0.0185,0.0176,0.0146
,,890.625,0.1389,0.0335,0.1245,0.0248,0.006,0.0222
,,893.75,0.1293,0.1413,0.0527,0.023,0.0252,0.0094
,,896.875,0.091,0.1245,0.0934,0.0161,0.0221,0.0166
,,900,0.1174,0.0982,0.0719,0.0208,0.0174,0.0127
,,903.125,0.0192,0.103,0.0431,0.0034,0.0182,0.0076
,,906.25,0.0982,0.1389,0.1485,0.0172,0.0244,0.0261
,,909.375,0.0742,0.2012,0.0479,0.013,0.0352,0.0084
,,912.5,0.1102,0.0263,0.1245,0.0192,0.0046,0.0217
,,915.625,0.0671,0.024,0.0671,0.0117,0.0042,0.0117
,,918.75,0.1054,0.0886,0.1413,0.0183,0.0153,0.0245
,,921.875,0.2539,0.3185,0.2443,0.0438,0.055,0.0422
,,925,0.0958,0.1317,0.0647,0.0165,0.0227,0.0111
,,928.125,0.1988,0.3209,0.3066,0.0341,0.055,0.0526
,,931.25,0.1724,0.0383,0.17,0.0295,0.0065,0.0291
,,934.375,0.1796,0.091,0.1078,0.0306,0.0155,0.0184
,,937.5,0.1509,0.2275,0.2179,0.0256,0.0386,0.037
,,940.625,0.1437,0.115,0.1892,0.0243,0.0195,0.032
,,943.75,0.1269,0.1126,0.1916,0.0214,0.019,0.0323
,,946.875,0.0575,0.0335,0.0742,0.0097,0.0056,0.0125
,,950,0.2706,0.1748,0.2347,0.0453,0.0293,0.0393
,,953.125,0.1317,0.2778,0.1485,0.022,0.0464,0.0248
,,956.25,0.1964,0.2491,0.1174,0.0327,0.0415,0.0195
,,959.375,0.0455,0.0742,0.0335,0.0075,0.0123,0.0056
,,962.5,0.2299,0.2299,0.0719,0.038,0.038,0.0119
,,965.625,0.103,0.2635,0.0479,0.017,0.0434,0.0079
,,968.75,0.1724,0.2323,0.0695,0.0283,0.0382,0.0114
,,971.875,0.0503,0.1724,0.206,0.0082,0.0282,0.0337
,,975,0.273,0.5197,0.2491,0.0446,0.0848,0.0407
,,978.125,0.2778,0.2706,0.2347,0.0452,0.044,0.0382
,,981.25,0.1006,0.2084,0.2203,0.0163,0.0338,0.0357
,,984.375,0.1509,0.17,0.2179,0.0244,0.0275,0.0352
,,987.5,0.2036,0.2946,0.0647,0.0328,0.0475,0.0104
,,990.625,0.0982,0.3593,0.182,0.0158,0.0577,0.0292
,,993.75,0.2443,0.4982,0.2802,0.0391,0.0798,0.0449
,,996.875,0.0695,0.1102,0.0742,0.0111,0.0176,0.0118
,,1000,0.2251,0.2203,0.2563,0.0358,0.0351,0.0408
,,1003.125,0.1988,0.3161,0.1341,0.0315,0.0502,0.0213
,,1006.25,0.3784,0.6538,0.3593,0.0599,0.1034,0.0568
,,1009.375,0.1293,0.1485,0.1629,0.0204,0.0234,0.0257
,,1012.5,0.079,0.2491,0.1437,0.0124,0.0392,0.0226
,,1015.625,0.1317,0.4024,0.0958,0.0206,0.0631,0.015
,,1018.75,0.1365,0.2012,0.0886,0.0213,0.0314,0.0138
,,1021.875,0.1677,0.2611,0.1581,0.0261,0.0407,0.0246
,,1025,0.2491,0.3018,0.2443,0.0387,0.0469,0.0379
,,1028.125,0.1533,0.2874,0.1365,0.0237,0.0445,0.0211
,,1031.25,0.2994,0.3042,0.2299,0.0462,0.0469,0.0355
,,1034.375,0.1317,0.1293,0.1341,0.0203,0.0199,0.0206
,,1037.5,0.2347,0.273,0.2132,0.036,0.0419,0.0327
,,1040.625,0.4143,0.788,0.3928,0.0634,0.1205,0.0601
,,1043.75,0.0383,0.0862,0.0551,0.0058,0.0131,0.0084
,,1046.875,0.1748,0.3401,0.0192,0.0266,0.0517,0.0029
,,1050,0.1054,0.1629,0.1844,0.016,0.0247,0.028
,,1053.125,0.4407,0.6299,0.3018,0.0666,0.0952,0.0456
,,1056.25,0.0359,0.2419,0.1389,0.0054,0.0364,0.0209
,,1059.375,0.2467,0.3521,0.091,0.0371,0.0529,0.0137
,,1062.5,0.0479,0.2275,0.1485,0.0072,0.0341,0.0222
,,1065.625,0.1557,0.2874,0.1437,0.0233,0.0429,0.0215
,,1068.75,0.1772,0.2227,0.0958,0.0264,0.0332,0.0143
,,1071.875,NaN,0.2659,0.206,NaN,0.0395,0.0306
,,1075,NaN,0.0599,0.2682,NaN,0.0089,0.0397
,,1078.125,NaN,0.4694,0.5509,NaN,0.0693,0.0813
,,1081.25,NaN,0.4599,0.2371,NaN,0.0677,0.0349
,,1084.375,NaN,0.2179,0.1677,NaN,0.032,0.0246
,,1087.5,NaN,0.2563,0.1485,NaN,0.0375,0.0217
,,1090.625,NaN,0.4527,0.2515,NaN,0.0661,0.0367
,,1093.75,NaN,0.1964,0.1102,NaN,0.0286,0.016
,,1096.875,NaN,0.1006,0.0599,NaN,0.0146,0.0087
,,1100,NaN,0.0216,0.0814,NaN,0.0031,0.0118
,,1103.125,NaN,0.2635,0.206,NaN,0.038,0.0297
,,1106.25,NaN,0.4239,0.1413,NaN,0.061,0.0203
,,1109.375,0.1245,0.2898,0.0838,0.0179,0.0416,0.012
,,1112.5,0.2635,0.5197,0.1892,0.0377,0.0743,0.0271
,,1115.625,0.115,0.1413,0.0551,0.0164,0.0202,0.0079
,,1118.75,0.0359,0.0383,0.0192,0.0051,0.0054,0.0027
,,1121.875,0.0575,0.1581,0.1485,0.0082,0.0224,0.0211
,,1125,0.1964,0.4551,0.1102,0.0278,0.0644,0.0156
,,1128.125,0.0383,0.1629,0.0551,0.0054,0.023,0.0078
,,1131.25,0.0263,0.1054,0.0719,0.0037,0.0148,0.0101
,,1134.375,0.0527,0.1892,0.0695,0.0074,0.0265,0.0098
,,1137.5,0.1293,0.1772,0.1006,0.0181,0.0248,0.0141
,,1140.625,0.2084,0.2251,0.0814,0.0291,0.0314,0.0114
,,1143.75,0.0695,0.0575,0.0862,0.0097,0.008,0.012
,,1146.875,0.2467,0.3066,0.0599,0.0342,0.0425,0.0083
,,1150,0.0647,0.2012,0.091,0.009,0.0278,0.0126
,,1153.125,0.0862,0.0551,0.1006,0.0119,0.0076,0.0139
,,1156.25,0.2299,0.3257,0.0742,0.0316,0.0448,0.0102
,,1159.375,0.1509,0.3018,0.0551,0.0207,0.0414,0.0076
,,1162.5,0.0934,0.1629,0.0383,0.0128,0.0223,0.0052
,,1165.625,0.2012,0.2994,0.0168,0.0275,0.0409,0.0023
,,1168.75,0.17,0.1964,0.1078,0.0231,0.0267,0.0147
,,1171.875,0.0551,0.1006,0.079,0.0075,0.0137,0.0107
,,1175,0.0814,0.0695,0.0335,0.011,0.0094,0.0045
,,1178.125,0.1006,0.1844,0.079,0.0136,0.0249,0.0107
,,1181.25,0.0623,0.1198,0.0072,0.0084,0.0161,0.001
,,1184.375,0.0455,0.0695,0.0479,0.0061,0.0093,0.0064
,,1187.5,0.0934,0.17,0.0551,0.0125,0.0228,0.0074
,,1190.625,0.0479,0.079,0.1102,0.0064,0.0106,0.0147
,,1193.75,0.1006,0.1006,0.0647,0.0134,0.0134,0.0086
,,1196.875,0.0263,0.0982,0.1006,0.0035,0.0131,0.0134
,,1200,0.0216,0.0335,0.0431,0.0029,0.0044,0.0057
,,1203.125,0.1245,0.206,0.0335,0.0165,0.0273,0.0044
,,1206.25,0,0.0647,0.0862,0,0.0085,0.0114
,,1209.375,0.1006,0.1796,0.0647,0.0132,0.0236,0.0085
,,1212.5,0.0359,0.1245,0.0335,0.0047,0.0163,0.0044
,,1215.625,0.0527,0.0647,0.0263,0.0069,0.0085,0.0034
,,1218.75,0.1844,0.206,0.0383,0.0241,0.0269,0.005
,,1221.875,0.0407,0.0958,0.0479,0.0053,0.0125,0.0062
,,1225,0.0527,0.1916,0.0766,0.0068,0.0249,0.01
,,1228.125,0.0671,0.0719,0.0742,0.0087,0.0093,0.0096
,,1231.25,0.0527,0.1006,0.0671,0.0068,0.013,0.0087
,,1234.375,0.0192,0.024,0.0287,0.0025,0.0031,0.0037
,,1237.5,0.0144,0.0527,0.0551,0.0019,0.0068,0.0071
,,1240.625,0.0479,0.0383,0.1341,0.0061,0.0049,0.0172
,,1243.75,0.1078,0.1437,0.0671,0.0138,0.0184,0.0086
,,1246.875,0.0527,0.0527,0.0647,0.0067,0.0067,0.0083
,,1250,0.0958,0.0599,0.0263,0.0122,0.0076,0.0033
,,1253.125,0.079,0.0311,0.0431,0.01,0.0039,0.0055
,,1256.25,0.0958,0.0599,0.0838,0.0121,0.0076,0.0106
,,1259.375,0.0263,0.0742,0.0695,0.0033,0.0094,0.0088
,,1262.5,0.0671,0.0168,0.0623,0.0085,0.0021,0.0079
,,1265.625,0.0575,0.1102,0.0958,0.0072,0.0139,0.012
,,1268.75,0.0742,0.0359,0.0599,0.0093,0.0045,0.0075
,,1271.875,0.0838,0.0742,0.0527,0.0105,0.0093,0.0066
,,1275,0.0575,0.0431,0.0311,0.0072,0.0054,0.0039
,,1278.125,0.0695,0.0958,0.0551,0.0087,0.0119,0.0069
,,1281.25,0.0335,0.0359,NaN,0.0042,0.0045,NaN
,,1284.375,0.0766,0,NaN,0.0095,0,NaN
,,1287.5,0.0263,0.0766,NaN,0.0033,0.0095,NaN
,,1290.625,0.103,0.0168,NaN,0.0127,0.0021,NaN
,,1293.75,0.0431,0.0144,NaN,0.0053,0.0018,NaN
,,1296.875,0.0671,0.0527,NaN,0.0082,0.0065,NaN
,,1300,0.0503,0.0359,NaN,0.0062,0.0044,NaN
,,1303.125,0.1485,0.115,NaN,0.0181,0.014,NaN
,,1306.25,0.0575,0.0719,NaN,0.007,0.0088,NaN
,,1309.375,0.0766,0.0814,NaN,0.0093,0.0099,NaN
,,1312.5,0.0072,0.0431,NaN,0.0009,0.0052,NaN
,,1315.625,0.1557,0.0742,0,0.0188,0.009,0
,,1318.75,0.1054,0.0503,0.0982,0.0127,0.0061,0.0119
,,1321.875,0.0934,0.0647,0.0383,0.0112,0.0078,0.0046
,,1325,0.1293,0.091,0.0144,0.0155,0.0109,0.0017
,,1328.125,0.1006,0.0287,0.0144,0.0121,0.0034,0.0017
,,1331.25,0.1078,0.0407,0.0359,0.0129,0.0049,0.0043
,,1334.375,0.0383,0.0982,0.0335,0.0046,0.0117,0.004
,,1337.5,0.103,0.0311,0.0168,0.0123,0.0037,0.002
,,1340.625,0.1317,0.0886,0.1078,0.0156,0.0105,0.0128
,,1343.75,0.0431,0.0359,0.0192,0.0051,0.0043,0.0023
,,1346.875,0.1102,0,0.0814,0.013,0,0.0096
,,1350,0.1221,0.0982,0.1245,0.0144,0.0116,0.0147
,,1353.125,0.0958,0.0527,0.0072,0.0113,0.0062,0.0008
,,1356.25,0.0623,0.1006,0.0934,0.0073,0.0118,0.011
,,1359.375,0.1245,0.0647,0.0647,0.0146,0.0076,0.0076
,,1362.5,0.1413,0.0527,0.1078,0.0165,0.0062,0.0126
,,1365.625,0.1724,0.0216,0.0695,0.0201,0.0025,0.0081
,,1368.75,0.1413,0.0263,0.0503,0.0164,0.0031,0.0058
,,1371.875,0.1006,0.0479,0.0407,0.0117,0.0056,0.0047
,,1375,0.0479,NaN,0.0383,0.0055,NaN,0.0044
,,1378.125,0.0503,NaN,0.0263,0.0058,NaN,0.003
,,1381.25,0.1174,NaN,0.103,0.0135,NaN,0.0119
,,1384.375,0.1605,NaN,0.0431,0.0185,NaN,0.005
,,1387.5,0.0551,NaN,0.0216,0.0063,NaN,0.0025
,,1390.625,0.1533,NaN,0.1174,0.0175,NaN,0.0134
,,1393.75,0.2754,NaN,0.115,0.0314,NaN,0.0131
,,1396.875,0.1437,NaN,0.0479,0.0164,NaN,0.0055
,,1400,0.1006,NaN,0.0599,0.0114,NaN,0.0068
,,1403.125,0.0335,NaN,0.0335,0.0038,NaN,0.0038
,,1406.25,0.1198,NaN,0.115,0.0136,NaN,0.013
,,1409.375,0.0886,0,0.0383,0.01,0,0.0043
,,1412.5,0.1653,0.091,0.1341,0.0186,0.0103,0.0151
,,1415.625,0.0527,0.0383,0.0168,0.0059,0.0043,0.0019
,,1418.75,0.1317,0.0719,0.1126,0.0148,0.0081,0.0126
,,1421.875,0.1006,0.0144,0.0455,0.0113,0.0016,0.0051
,,1425,0.0575,0.0144,0.0192,0.0064,0.0016,0.0021
,,1428.125,0.0742,0.0192,0.0647,0.0083,0.0021,0.0072
,,1431.25,0.0216,0.0263,0.0335,0.0024,0.0029,0.0037
,,1434.375,0.0407,0.0072,0.0862,0.0045,0.0008,0.0096
,,1437.5,0.1245,0.0623,0.0742,0.0138,0.0069,0.0082
,,1440.625,0.1245,0.0527,0.0479,0.0138,0.0058,0.0053
,,1443.75,0.0695,0.0192,0.0359,0.0077,0.0021,0.004
,,1446.875,0.1988,0.0838,0.0958,0.0219,0.0092,0.0105
,,1450,0.0551,0.0335,0.0431,0.006,0.0037,0.0047
,,1453.125,0.0838,0.0263,0.0359,0.0092,0.0029,0.0039
,,1456.25,0.0407,0.012,0.0335,0.0044,0.0013,0.0037
,,1459.375,0.0719,0.0216,0.0742,0.0078,0.0024,0.0081
,,1462.5,0.103,0.0551,0.0503,0.0112,0.006,0.0055
,,1465.625,0.0359,0.0072,0.0503,0.0039,0.0008,0.0055
,,1468.75,0.0647,0.0144,0.0503,0.007,0.0016,0.0055
,,1471.875,0.0599,0.0503,0.0263,0.0065,0.0054,0.0028
,,1475,0.0551,0.0359,0.0407,0.0059,0.0039,0.0044
,,1478.125,0.0503,0.0192,0.0719,0.0054,0.0021,0.0077
,,1481.25,0.0742,0.0359,0.0503,0.008,0.0039,0.0054
,,1484.375,0.1245,0.0814,0.0383,0.0133,0.0087,0.0041
,,1487.5,0.0623,0.0359,0.0862,0.0067,0.0038,0.0092
,,1490.625,0.0192,0.012,0.0287,0.002,0.0013,0.0031
,,1493.75,0.024,0.0168,0.0168,0.0026,0.0018,0.0018
,,1496.875,0.0575,0.0431,0.0216,0.0061,0.0046,0.0023
,,1500,0.0263,0.0144,0.0192,0.0028,0.0015,0.002
,,1503.125,0.0431,0.0072,0.0072,0.0046,0.0008,0.0008
,,1506.25,0.0742,0.0311,0,0.0078,0.0033,0
,,1509.375,0.0719,0.0383,0.012,0.0076,0.004,0.0013
,,1512.5,0.0407,0.0144,0.0527,0.0043,0.0015,0.0055
,,1515.625,0.012,0,0.0168,0.0013,0,0.0018
,,1518.75,0.0383,0.0144,0.0144,0.004,0.0015,0.0015
,,1521.875,0.0287,0.0216,0.0072,0.003,0.0023,0.0008
,,1525,0.0527,0.0359,0.0311,0.0055,0.0037,0.0032
,,1528.125,0.0263,0.0072,0.0335,0.0027,0.0007,0.0035
,,1531.25,0.0072,0.012,0.0168,0.0007,0.0012,0.0017
,,1534.375,0.024,0.0263,0.0072,0.0025,0.0027,0.0007
,,1537.5,0.0335,0.012,0.0263,0.0035,0.0012,0.0027
,,1540.625,NaN,0.012,0.0144,NaN,0.0012,0.0015
,,1543.75,NaN,0.0072,0.0192,NaN,0.0007,0.002
,,1546.875,NaN,0.0263,0,NaN,0.0027,0
,,1550,NaN,0.0216,0.0168,NaN,0.0022,0.0017
,,1553.125,NaN,0.012,0,NaN,0.0012,0
,,1556.25,NaN,0.0168,0.0192,NaN,0.0017,0.002
,,1559.375,NaN,0.0216,0.0072,NaN,0.0022,0.0007
,,1562.5,NaN,0.0216,0.0216,NaN,0.0022,0.0022
,,1565.625,NaN,0.0144,0.0168,NaN,0.0015,0.0017
,,1568.75,NaN,0.0072,0.0144,NaN,0.0007,0.0015
,,1571.875,NaN,0.0335,0,NaN,0.0034,0
,,1575,0,0.0287,0.0192,0,0.0029,0.0019
,,1578.125,0,0.0072,0.024,0,0.0007,0.0024
,,1581.25,0.0144,0.012,0.0216,0.0014,0.0012,0.0022
,,1584.375,0.0359,0.0311,0.0048,0.0036,0.0031,0.0005
,,1587.5,0.0431,0.0216,0.0263,0.0043,0.0022,0.0026
,,1590.625,0.0072,0.0072,0.0144,0.0007,0.0007,0.0014
,,1593.75,0.0192,0.0072,0.0144,0.0019,0.0007,0.0014
,,1596.875,0.0431,0.0359,0.0144,0.0043,0.0036,0.0014
,,1600,0,0,0,0,0,0
45482200000A,2022-04-28T06:09:48.000Z,0,0.3209,2.9459,9.8006,Infinity,Infinity,Infinity
,,3.125,0.3736,0.1485,0.1437,19.0273,7.563,7.3186
,,6.25,0.2203,0.297,0.0479,5.6099,7.563,1.2198
,,9.375,0.2922,0.0551,0.1078,4.9605,0.9354,1.8301
,,12.5,0.3736,0.2395,0.0263,4.7568,3.0494,0.3349
,,15.625,0.4646,0.1102,0.2299,4.7324,1.1225,2.3417
,,18.75,0.2587,0.3018,0.1293,2.1959,2.5618,1.0975
,,21.875,0.2515,0.2108,0.0814,1.8298,1.5337,0.5922
,,25,0.4,0.2227,0.0814,2.5465,1.4178,0.5182
,,28.125,0.788,0.3114,0.3832,4.4592,1.7622,2.1685
,,31.25,0.364,0.6299,0.1293,1.8538,3.2081,0.6585
,,34.375,0.1796,0.6778,0.103,0.8315,3.1382,0.4769
,,37.5,1.0897,1.073,0.103,4.6248,4.554,0.4371
,,40.625,2.4717,0.6179,1.3221,9.6833,2.4207,5.1795
,,43.75,1.0035,0.467,0.467,3.6506,1.6989,1.6989
,,46.875,1.2358,0.594,0.2251,4.1959,2.0168,0.7643
,,50,1.1161,0.958,0.2635,3.5527,3.0494,0.8387
,,53.125,1.0969,0.4311,0.776,3.2862,1.2915,2.3248
,,56.25,0.1102,0.2491,0.1293,0.3118,0.7048,0.3658
,,59.375,0.3281,0.0407,0.0623,0.8795,0.1091,0.167
,,62.5,0.3066,0.3688,0.0814,0.7808,0.9391,0.2073
,,65.625,0.4383,0.3401,0.3688,1.063,0.8248,0.8944
,,68.75,0.1485,0.2611,0.2898,0.3438,0.6044,0.6709
,,71.875,0.3425,0.115,0.1102,0.7584,0.2546,0.244
,,75,0.1509,0.3473,0.1245,0.3202,0.737,0.2642
,,78.125,0.1174,0.3305,0.2443,0.2392,0.6733,0.4977
,,81.25,0.2347,0.4886,0.3497,0.4597,0.9571,0.685
,,84.375,0.3712,0.6131,0.4143,0.7002,1.1565,0.7815
,,87.5,0.1916,0.115,0.5724,0.3485,0.2092,1.0411
,,90.625,0.4143,2.1292,0.764,0.7276,3.7393,1.3417
,,93.75,0.5173,0.9892,1.0155,0.8782,1.6793,1.724
,,96.875,0.2132,0.4215,0.3497,0.3503,0.6925,0.5745
,,100,0.1245,0.273,0.2635,0.1981,0.4345,0.4194
,,103.125,0.1796,0.1988,0.1317,0.2772,0.3068,0.2033
,,106.25,0.3928,0.3281,1.0107,0.5884,0.4915,1.514
,,109.375,0.3305,0.1724,0.3066,0.4809,0.2509,0.4461
,,112.5,0.1174,0.1868,0.3784,0.1661,0.2643,0.5353
,,115.625,0.1605,0.3114,0.297,0.2209,0.4286,0.4088
,,118.75,0.491,0.3928,1.164,0.6581,0.5265,1.5601
